time,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,global_tilted_irradiance
2025-11-01T00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01T01:00,0.0,0.0,0.0,0.0,0.0
2025-11-01T02:00,0.0,0.0,0.0,0.0,0.0
2025-11-01T03:00,0.0,0.0,0.0,0.0,0.0
2025-11-01T04:00,0.0,0.0,0.0,0.0,0.0
2025-11-01T05:00,0.0,0.0,0.0,0.0,0.0
2025-11-01T06:00,15.0,5.0,51.3,10.0,15.0
2025-11-01T07:00,171.0,102.0,419.1,69.0,171.0
2025-11-01T08:00,418.0,333.0,708.5,85.0,418.0
2025-11-01T09:00,628.0,512.0,773.4,116.0,628.0
2025-11-01T10:00,807.0,697.0,864.4,110.0,807.0
2025-11-01T11:00,878.0,695.0,778.1,183.0,878.0
2025-11-01T12:00,834.0,578.0,630.6,256.0,834.0
2025-11-01T13:00,775.0,534.0,610.3,241.0,775.0
2025-11-01T14:00,688.0,487.0,631.5,201.0,688.0
2025-11-01T15:00,490.0,310.0,506.2,180.0,490.0
2025-11-01T16:00,338.0,247.0,603.5,91.0,338.0
2025-11-01T17:00,112.0,64.0,344.9,48.0,112.0
2025-11-01T18:00,2.0,0.0,0.0,2.0,2.0
2025-11-01T19:00,0.0,0.0,0.0,0.0,0.0
2025-11-01T20:00,0.0,0.0,0.0,0.0,0.0
2025-11-01T21:00,0.0,0.0,0.0,0.0,0.0
2025-11-01T22:00,0.0,0.0,0.0,0.0,0.0
2025-11-01T23:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T01:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T02:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T03:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T04:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T05:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T06:00,15.0,6.0,61.8,9.0,15.0
2025-11-02T07:00,179.0,122.0,503.5,57.0,179.0
2025-11-02T08:00,396.0,283.0,604.0,113.0,396.0
2025-11-02T09:00,610.0,470.0,711.8,140.0,610.0
2025-11-02T10:00,766.0,625.0,777.0,141.0,766.0
2025-11-02T11:00,881.0,764.0,857.4,117.0,881.0
2025-11-02T12:00,877.0,734.0,802.7,143.0,877.0
2025-11-02T13:00,808.0,656.0,751.5,152.0,808.0
2025-11-02T14:00,706.0,594.0,772.2,112.0,706.0
2025-11-02T15:00,510.0,400.0,655.1,110.0,510.0
2025-11-02T16:00,308.0,218.0,534.5,90.0,308.0
2025-11-02T17:00,99.0,59.0,319.1,40.0,99.0
2025-11-02T18:00,2.0,0.0,0.0,2.0,2.0
2025-11-02T19:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T20:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T21:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T22:00,0.0,0.0,0.0,0.0,0.0
2025-11-02T23:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T01:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T02:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T03:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T04:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T05:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T06:00,15.0,7.0,72.5,8.0,15.0
2025-11-03T07:00,184.0,129.0,535.0,55.0,184.0
2025-11-03T08:00,422.0,341.0,730.1,81.0,422.0
2025-11-03T09:00,640.0,544.0,826.1,96.0,640.0
2025-11-03T10:00,802.0,679.0,846.2,123.0,802.0
2025-11-03T11:00,897.0,769.0,865.1,128.0,897.0
2025-11-03T12:00,851.0,696.0,762.9,155.0,851.0
2025-11-03T13:00,776.0,628.0,721.2,148.0,776.0
2025-11-03T14:00,631.0,437.0,569.5,194.0,631.0
2025-11-03T15:00,459.0,309.0,507.4,150.0,459.0
2025-11-03T16:00,282.0,168.0,413.3,114.0,282.0
2025-11-03T17:00,96.0,45.0,244.2,51.0,96.0
2025-11-03T18:00,2.0,0.0,0.0,2.0,2.0
2025-11-03T19:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T20:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T21:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T22:00,0.0,0.0,0.0,0.0,0.0
2025-11-03T23:00,0.0,0.0,0.0,0.0,0.0
2025-11-04T00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04T01:00,0.0,0.0,0.0,0.0,0.0
2025-11-04T02:00,0.0,0.0,0.0,0.0,0.0
2025-11-04T03:00,0.0,0.0,0.0,0.0,0.0
2025-11-04T04:00,0.0,0.0,0.0,0.0,0.0
2025-11-04T05:00,0.0,0.0,0.0,0.0,0.0
2025-11-04T06:00,15.0,6.0,62.5,9.0,15.0
2025-11-04T07:00,178.0,118.0,491.9,60.0,178.0
2025-11-04T08:00,413.0,325.0,698.2,88.0,413.0
2025-11-04T09:00,582.0,431.0,656.3,151.0,582.0
2025-11-04T10:00,779.0,623.0,778.4,156.0,779.0
2025-11-04T11:00,849.0,707.0,797.2,142.0,849.0
2025-11-04T12:00,844.0,692.0,760.3,152.0,844.0
2025-11-04T13:00,738.0,575.0,661.9,163.0,738.0
2025-11-04T14:00,678.0,533.0,696.3,145.0,678.0
