time,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,global_tilted_irradiance
2025-11-01,6156.0,4564.0,6921.8,1592.0,6156.0
2025-11-02,6157.0,4931.0,7350.6,1226.0,6157.0
2025-11-03,6057.0,4752.0,7093.5,1305.0,6057.0
2025-11-04,5966.0,4578.0,6809.8,1388.0,5966.0
2025-11-05,5723.0,4057.0,5755.5,1666.0,5723.0
2025-11-06,5108.0,3190.0,4620.900000000001,1918.0,5108.0
2025-11-07,4222.0,1896.0,3053.1,2326.0,4222.0
2025-11-08,5089.0,3435.0,4876.9,1654.0,5089.0
2025-11-09,5374.0,3894.0,5363.7,1480.0,5374.0
2025-11-10,5319.0,3892.0,5577.8,1427.0,5319.0
2025-11-11,5086.0,3407.0,4989.900000000001,1679.0,5086.0
2025-11-12,3530.0,1149.0,1734.3,2381.0,3530.0
2025-11-13,4347.0,2201.0,3399.5,2146.0,4347.0
2025-11-14,5816.0,4427.0,6673.3,1389.0,5816.0
2025-11-15,2651.0,386.0,571.5,2265.0,2651.0
2025-11-16,2714.0,1091.0,1965.3,1623.0,2714.0
2025-11-17,1637.0,122.0,203.7,1515.0,1637.0
2025-11-18,4008.0,1785.0,2854.1,2223.0,4008.0
2025-11-19,5849.0,4596.0,6789.5,1253.0,5849.0
2025-11-20,3872.0,1855.0,2587.5,2017.0,3872.0
2025-11-21,4258.0,2692.0,4021.9,1566.0,4258.0
2025-11-22,3396.0,1841.0,2740.2,1555.0,3396.0
2025-11-23,3763.0,2052.0,2944.5,1711.0,3763.0
2025-11-24,1312.0,93.0,155.9,1219.0,1312.0
2025-11-25,2355.0,342.0,662.0,2013.0,2355.0
2025-11-26,1625.0,76.0,100.2,1549.0,1625.0
2025-11-27,670.0,36.0,57.5,634.0,670.0
2025-11-28,2529.0,649.0,998.2,1880.0,2529.0
2025-11-29,1609.0,109.0,158.3,1500.0,1609.0
2025-11-30,5589.0,4268.0,7060.6,1321.0,5589.0
