time,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,global_tilted_irradiance
2025-11-01,6226.0,4667.0,7101.4,1559.0,6226.0
2025-11-02,6305.0,5179.0,7799.9,1126.0,6305.0
2025-11-03,6152.0,4848.0,7323.5,1304.0,6152.0
2025-11-04,6158.0,4869.0,7218.3,1289.0,6158.0
2025-11-05,5693.0,4121.0,5862.5,1572.0,5693.0
2025-11-06,4941.0,3095.0,4411.6,1846.0,4941.0
2025-11-07,4243.0,2008.0,3271.0,2235.0,4243.0
2025-11-08,5459.0,3887.0,5620.7,1572.0,5459.0
2025-11-09,5538.0,4094.0,5875.7,1444.0,5538.0
2025-11-10,5273.0,3940.0,5626.5,1333.0,5273.0
2025-11-11,4777.0,3100.0,4593.8,1677.0,4777.0
2025-11-12,3452.0,1109.0,1757.7,2343.0,3452.0
2025-11-13,4142.0,1945.0,3058.6,2197.0,4142.0
2025-11-14,5740.0,4141.0,6138.2,1599.0,5740.0
2025-11-15,2333.0,321.0,424.4,2012.0,2333.0
2025-11-16,2341.0,671.0,1197.4,1670.0,2341.0
2025-11-17,1466.0,111.0,196.0,1355.0,1466.0
2025-11-18,4063.0,1911.0,3181.0,2152.0,4063.0
2025-11-19,5891.0,4687.0,7122.1,1204.0,5891.0
2025-11-20,3683.0,1646.0,2210.9,2037.0,3683.0
2025-11-21,3837.0,2043.0,3241.1,1794.0,3837.0
2025-11-22,3232.0,1505.0,2302.1,1727.0,3232.0
2025-11-23,4216.0,2588.0,3694.8,1628.0,4216.0
2025-11-24,1109.0,31.0,51.0,1078.0,1109.0
2025-11-25,2108.0,219.0,403.0,1889.0,2108.0
2025-11-26,1581.0,32.0,43.3,1549.0,1581.0
2025-11-27,537.0,27.0,39.0,510.0,537.0
2025-11-28,2975.0,1066.0,1612.3,1909.0,2975.0
2025-11-29,1657.0,132.0,194.6,1525.0,1657.0
2025-11-30,5611.0,4345.0,7158.2,1266.0,5611.0
