time,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,global_tilted_irradiance
2025-10-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-01 06:00:00,15.0,4.0,39.0,11.0,15.0
2025-10-01 07:00:00,179.0,107.0,414.7,72.0,179.0
2025-10-01 08:00:00,405.0,270.0,546.3,135.0,405.0
2025-10-01 09:00:00,658.0,551.0,791.4,107.0,658.0
2025-10-01 10:00:00,773.0,639.0,751.7,134.0,773.0
2025-10-01 11:00:00,892.0,753.0,796.4,139.0,892.0
2025-10-01 12:00:00,959.0,799.0,818.8,160.0,959.0
2025-10-01 13:00:00,912.0,746.0,794.5,166.0,912.0
2025-10-01 14:00:00,787.0,646.0,771.3,141.0,787.0
2025-10-01 15:00:00,619.0,500.0,736.9,119.0,619.0
2025-10-01 16:00:00,364.0,205.0,433.8,159.0,364.0
2025-10-01 17:00:00,128.0,34.0,145.4,94.0,128.0
2025-10-01 18:00:00,10.0,2.0,22.2,8.0,10.0
2025-10-01 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 06:00:00,17.0,6.0,58.4,11.0,17.0
2025-10-02 07:00:00,184.0,120.0,464.6,64.0,184.0
2025-10-02 08:00:00,428.0,336.0,679.8,92.0,428.0
2025-10-02 09:00:00,649.0,537.0,771.7,112.0,649.0
2025-10-02 10:00:00,801.0,628.0,739.3,173.0,801.0
2025-10-02 11:00:00,879.0,640.0,677.7,239.0,879.0
2025-10-02 12:00:00,858.0,620.0,636.3,238.0,858.0
2025-10-02 13:00:00,906.0,752.0,802.4,154.0,906.0
2025-10-02 14:00:00,760.0,567.0,678.6,193.0,760.0
2025-10-02 15:00:00,580.0,431.0,637.4,149.0,580.0
2025-10-02 16:00:00,338.0,213.0,453.1,125.0,338.0
2025-10-02 17:00:00,147.0,74.0,319.9,73.0,147.0
2025-10-02 18:00:00,9.0,3.0,33.8,6.0,9.0
2025-10-02 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 06:00:00,16.0,5.0,48.6,11.0,16.0
2025-10-03 07:00:00,186.0,123.0,475.8,63.0,186.0
2025-10-03 08:00:00,418.0,321.0,649.5,97.0,418.0
2025-10-03 09:00:00,629.0,498.0,716.0,131.0,629.0
2025-10-03 10:00:00,800.0,665.0,783.5,135.0,800.0
2025-10-03 11:00:00,878.0,728.0,771.7,150.0,878.0
2025-10-03 12:00:00,941.0,792.0,814.1,149.0,941.0
2025-10-03 13:00:00,409.0,74.0,79.1,335.0,409.0
2025-10-03 14:00:00,425.0,205.0,246.0,220.0,425.0
2025-10-03 15:00:00,501.0,283.0,420.0,218.0,501.0
2025-10-03 16:00:00,356.0,249.0,532.4,107.0,356.0
2025-10-03 17:00:00,131.0,76.0,332.1,55.0,131.0
2025-10-03 18:00:00,8.0,2.0,22.8,6.0,8.0
2025-10-03 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 06:00:00,17.0,6.0,58.2,11.0,17.0
2025-10-04 07:00:00,182.0,118.0,456.2,64.0,182.0
2025-10-04 08:00:00,404.0,310.0,627.3,94.0,404.0
2025-10-04 09:00:00,477.0,274.0,394.2,203.0,477.0
2025-10-04 10:00:00,591.0,348.0,410.4,243.0,591.0
2025-10-04 11:00:00,891.0,710.0,753.6,181.0,891.0
2025-10-04 12:00:00,838.0,621.0,639.3,217.0,838.0
2025-10-04 13:00:00,236.0,3.0,3.2,233.0,236.0
2025-10-04 14:00:00,198.0,34.0,40.9,164.0,198.0
2025-10-04 15:00:00,243.0,33.0,49.1,210.0,243.0
2025-10-04 16:00:00,240.0,83.0,178.4,157.0,240.0
2025-10-04 17:00:00,89.0,25.0,110.4,64.0,89.0
2025-10-04 18:00:00,8.0,2.0,23.2,6.0,8.0
2025-10-04 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 06:00:00,17.0,7.0,67.8,10.0,17.0
2025-10-05 07:00:00,188.0,127.0,490.7,61.0,188.0
2025-10-05 08:00:00,428.0,336.0,680.1,92.0,428.0
2025-10-05 09:00:00,645.0,527.0,758.6,118.0,645.0
2025-10-05 10:00:00,743.0,579.0,683.5,164.0,743.0
2025-10-05 11:00:00,875.0,712.0,756.7,163.0,875.0
2025-10-05 12:00:00,940.0,781.0,805.3,159.0,940.0
2025-10-05 13:00:00,842.0,650.0,697.7,192.0,842.0
2025-10-05 14:00:00,759.0,596.0,718.9,163.0,759.0
2025-10-05 15:00:00,392.0,175.0,261.5,217.0,392.0
2025-10-05 16:00:00,299.0,164.0,354.4,135.0,299.0
2025-10-05 17:00:00,80.0,9.0,40.2,71.0,80.0
2025-10-05 18:00:00,5.0,0.0,0.0,5.0,5.0
2025-10-05 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-05 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 06:00:00,17.0,6.0,58.1,11.0,17.0
2025-10-06 07:00:00,183.0,117.0,451.9,66.0,183.0
2025-10-06 08:00:00,406.0,295.0,597.3,111.0,406.0
2025-10-06 09:00:00,478.0,214.0,308.3,264.0,478.0
2025-10-06 10:00:00,757.0,542.0,640.5,215.0,757.0
2025-10-06 11:00:00,850.0,655.0,697.0,195.0,850.0
2025-10-06 12:00:00,812.0,519.0,536.1,293.0,812.0
2025-10-06 13:00:00,647.0,342.0,367.9,305.0,647.0
2025-10-06 14:00:00,531.0,285.0,344.7,246.0,531.0
2025-10-06 15:00:00,340.0,96.0,144.0,244.0,340.0
2025-10-06 16:00:00,146.0,36.0,78.2,110.0,146.0
2025-10-06 17:00:00,127.0,50.0,225.7,77.0,127.0
2025-10-06 18:00:00,7.0,1.0,11.9,6.0,7.0
2025-10-06 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-06 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 06:00:00,16.0,5.0,48.4,11.0,16.0
2025-10-07 07:00:00,163.0,82.0,316.6,81.0,163.0
2025-10-07 08:00:00,388.0,249.0,504.4,139.0,388.0
2025-10-07 09:00:00,604.0,439.0,632.9,165.0,604.0
2025-10-07 10:00:00,805.0,650.0,768.9,155.0,805.0
2025-10-07 11:00:00,875.0,731.0,779.0,144.0,875.0
2025-10-07 12:00:00,944.0,800.0,827.7,144.0,944.0
2025-10-07 13:00:00,875.0,727.0,783.6,148.0,875.0
2025-10-07 14:00:00,744.0,611.0,740.9,133.0,744.0
2025-10-07 15:00:00,422.0,219.0,329.6,203.0,422.0
2025-10-07 16:00:00,225.0,92.0,200.9,133.0,225.0
2025-10-07 17:00:00,73.0,19.0,86.7,54.0,73.0
2025-10-07 18:00:00,6.0,0.0,0.0,6.0,6.0
2025-10-07 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-10-07 23:00:00,0.0,0.0,0.0,0.0,0.0
