dhi,dni,ghi,gti,period_end,period
0,0,0,0,2025-10-01 05:35:00+05:30,PT5M
0,0,0,0,2025-10-01 05:40:00+05:30,PT5M
0,0,0,0,2025-10-01 05:45:00+05:30,PT5M
0,0,0,0,2025-10-01 05:50:00+05:30,PT5M
0,0,0,0,2025-10-01 05:55:00+05:30,PT5M
0,0,0,0,2025-10-01 06:00:00+05:30,PT5M
4,0,4,4,2025-10-01 06:05:00+05:30,PT5M
11,0,11,10,2025-10-01 06:10:00+05:30,PT5M
19,0,19,18,2025-10-01 06:15:00+05:30,PT5M
30,32,33,33,2025-10-01 06:20:00+05:30,PT5M
38,59,45,45,2025-10-01 06:25:00+05:30,PT5M
47,87,57,58,2025-10-01 06:30:00+05:30,PT5M
54,117,71,72,2025-10-01 06:35:00+05:30,PT5M
62,147,87,88,2025-10-01 06:40:00+05:30,PT5M
69,177,103,104,2025-10-01 06:45:00+05:30,PT5M
77,207,120,122,2025-10-01 06:50:00+05:30,PT5M
83,236,138,140,2025-10-01 06:55:00+05:30,PT5M
90,263,156,159,2025-10-01 07:00:00+05:30,PT5M
96,290,175,178,2025-10-01 07:05:00+05:30,PT5M
102,317,195,198,2025-10-01 07:10:00+05:30,PT5M
108,343,215,218,2025-10-01 07:15:00+05:30,PT5M
113,367,235,239,2025-10-01 07:20:00+05:30,PT5M
118,391,256,259,2025-10-01 07:25:00+05:30,PT5M
122,413,276,280,2025-10-01 07:30:00+05:30,PT5M
126,434,297,301,2025-10-01 07:35:00+05:30,PT5M
130,454,318,321,2025-10-01 07:40:00+05:30,PT5M
134,472,338,342,2025-10-01 07:45:00+05:30,PT5M
138,490,359,363,2025-10-01 07:50:00+05:30,PT5M
170,402,359,361,2025-10-01 07:55:00+05:30,PT5M
174,416,378,380,2025-10-01 08:00:00+05:30,PT5M
179,431,398,399,2025-10-01 08:05:00+05:30,PT5M
183,445,417,419,2025-10-01 08:10:00+05:30,PT5M
151,570,461,465,2025-10-01 08:15:00+05:30,PT5M
153,584,481,485,2025-10-01 08:20:00+05:30,PT5M
154,597,501,504,2025-10-01 08:25:00+05:30,PT5M
156,610,520,524,2025-10-01 08:30:00+05:30,PT5M
157,622,539,543,2025-10-01 08:35:00+05:30,PT5M
159,634,558,562,2025-10-01 08:40:00+05:30,PT5M
160,645,577,580,2025-10-01 08:45:00+05:30,PT5M
161,656,595,599,2025-10-01 08:50:00+05:30,PT5M
161,666,613,617,2025-10-01 08:55:00+05:30,PT5M
214,552,597,598,2025-10-01 09:00:00+05:30,PT5M
243,496,594,594,2025-10-01 09:05:00+05:30,PT5M
233,534,619,620,2025-10-01 09:10:00+05:30,PT5M
221,573,645,645,2025-10-01 09:15:00+05:30,PT5M
169,701,696,698,2025-10-01 09:20:00+05:30,PT5M
171,706,711,713,2025-10-01 09:25:00+05:30,PT5M
173,710,726,728,2025-10-01 09:30:00+05:30,PT5M
174,715,740,742,2025-10-01 09:35:00+05:30,PT5M
176,719,754,756,2025-10-01 09:40:00+05:30,PT5M
178,723,768,770,2025-10-01 09:45:00+05:30,PT5M
179,727,781,783,2025-10-01 09:50:00+05:30,PT5M
181,730,793,795,2025-10-01 09:55:00+05:30,PT5M
182,733,806,807,2025-10-01 10:00:00+05:30,PT5M
184,737,817,819,2025-10-01 10:05:00+05:30,PT5M
185,739,829,830,2025-10-01 10:10:00+05:30,PT5M
186,742,840,841,2025-10-01 10:15:00+05:30,PT5M
