time,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,global_tilted_irradiance
2025-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 06:00:00,20.0,9.0,86.4,11.0,20.0
2025-11-01 07:00:00,196.0,128.0,498.0,68.0,196.0
2025-11-01 08:00:00,454.0,380.0,785.0,74.0,454.0
2025-11-01 09:00:00,669.0,577.0,853.4,92.0,669.0
2025-11-01 10:00:00,809.0,691.0,842.6,118.0,809.0
2025-11-01 11:00:00,845.0,677.0,747.1,168.0,845.0
2025-11-01 12:00:00,868.0,707.0,761.5,161.0,868.0
2025-11-01 13:00:00,779.0,612.0,691.2,167.0,779.0
2025-11-01 14:00:00,642.0,474.0,607.6,168.0,642.0
2025-11-01 15:00:00,475.0,342.0,551.9,133.0,475.0
2025-11-01 16:00:00,245.0,128.0,308.5,117.0,245.0
2025-11-01 17:00:00,69.0,35.0,186.1,34.0,69.0
2025-11-01 18:00:00,2.0,0.0,0.0,2.0,2.0
2025-11-01 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 06:00:00,17.0,8.0,77.1,9.0,17.0
2025-11-02 07:00:00,171.0,103.0,402.2,68.0,171.0
2025-11-02 08:00:00,428.0,328.0,679.4,100.0,428.0
2025-11-02 09:00:00,631.0,499.0,739.8,132.0,631.0
2025-11-02 10:00:00,811.0,692.0,845.7,119.0,811.0
2025-11-02 11:00:00,844.0,681.0,753.2,163.0,844.0
2025-11-02 12:00:00,819.0,658.0,710.3,161.0,819.0
2025-11-02 13:00:00,799.0,618.0,699.5,181.0,799.0
2025-11-02 14:00:00,550.0,370.0,475.4,180.0,550.0
2025-11-02 15:00:00,498.0,369.0,597.0,129.0,498.0
2025-11-02 16:00:00,284.0,168.0,406.1,116.0,284.0
2025-11-02 17:00:00,109.0,67.0,357.4,42.0,109.0
2025-11-02 18:00:00,2.0,0.0,0.0,2.0,2.0
2025-11-02 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 06:00:00,20.0,8.0,77.4,12.0,20.0
2025-11-03 07:00:00,204.0,140.0,548.9,64.0,204.0
2025-11-03 08:00:00,451.0,367.0,762.3,84.0,451.0
2025-11-03 09:00:00,620.0,503.0,747.5,117.0,620.0
2025-11-03 10:00:00,853.0,744.0,911.3,109.0,853.0
2025-11-03 11:00:00,900.0,802.0,888.9,98.0,900.0
2025-11-03 12:00:00,885.0,765.0,827.5,120.0,885.0
2025-11-03 13:00:00,825.0,663.0,752.1,162.0,825.0
2025-11-03 14:00:00,737.0,603.0,776.5,134.0,737.0
2025-11-03 15:00:00,568.0,463.0,751.0,105.0,568.0
2025-11-03 16:00:00,329.0,242.0,586.7,87.0,329.0
2025-11-03 17:00:00,119.0,77.0,411.9,42.0,119.0
2025-11-03 18:00:00,3.0,1.0,15.7,2.0,3.0
2025-11-03 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 06:00:00,18.0,5.0,48.6,13.0,18.0
2025-11-04 07:00:00,161.0,66.0,259.8,95.0,161.0
2025-11-04 08:00:00,369.0,209.0,435.4,160.0,369.0
2025-11-04 09:00:00,649.0,522.0,777.6,127.0,649.0
2025-11-04 10:00:00,824.0,707.0,867.9,117.0,824.0
2025-11-04 11:00:00,877.0,739.0,820.9,138.0,877.0
2025-11-04 12:00:00,902.0,762.0,826.0,140.0,902.0
2025-11-04 13:00:00,853.0,726.0,825.3,127.0,853.0
2025-11-04 14:00:00,719.0,592.0,764.0,127.0,719.0
2025-11-04 15:00:00,526.0,420.0,682.8,106.0,526.0
2025-11-04 16:00:00,350.0,275.0,668.6,75.0,350.0
2025-11-04 17:00:00,123.0,83.0,445.2,40.0,123.0
2025-11-04 18:00:00,3.0,1.0,15.8,2.0,3.0
2025-11-04 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-05 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-05 01:00:00,0.0,0.0,0.0,0.0,0.0
