time,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,global_tilted_irradiance
2025-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 06:00:00,15.0,5.0,51.7,10.0,15.0
2025-11-01 07:00:00,169.0,93.0,383.5,76.0,169.0
2025-11-01 08:00:00,422.0,339.0,720.0,83.0,422.0
2025-11-01 09:00:00,612.0,483.0,726.4,129.0,612.0
2025-11-01 10:00:00,774.0,617.0,760.2,157.0,774.0
2025-11-01 11:00:00,872.0,706.0,783.7,166.0,872.0
2025-11-01 12:00:00,893.0,753.0,812.6,140.0,893.0
2025-11-01 13:00:00,854.0,723.0,815.0,131.0,854.0
2025-11-01 14:00:00,721.0,595.0,757.9,126.0,721.0
2025-11-01 15:00:00,494.0,361.0,575.4,133.0,494.0
2025-11-01 16:00:00,311.0,222.0,522.5,89.0,311.0
2025-11-01 17:00:00,122.0,76.0,392.6,46.0,122.0
2025-11-01 18:00:00,4.0,1.0,14.2,3.0,4.0
2025-11-01 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 06:00:00,13.0,5.0,51.9,8.0,13.0
2025-11-02 07:00:00,161.0,102.0,422.3,59.0,161.0
2025-11-02 08:00:00,361.0,253.0,538.8,108.0,361.0
2025-11-02 09:00:00,596.0,467.0,704.0,129.0,596.0
2025-11-02 10:00:00,556.0,337.0,416.1,219.0,556.0
2025-11-02 11:00:00,656.0,380.0,422.7,276.0,656.0
2025-11-02 12:00:00,857.0,707.0,764.6,150.0,857.0
2025-11-02 13:00:00,828.0,660.0,745.6,168.0,828.0
2025-11-02 14:00:00,758.0,629.0,803.1,129.0,758.0
2025-11-02 15:00:00,579.0,469.0,749.5,110.0,579.0
2025-11-02 16:00:00,341.0,237.0,559.6,104.0,341.0
2025-11-02 17:00:00,122.0,73.0,378.3,49.0,122.0
2025-11-02 18:00:00,4.0,1.0,14.3,3.0,4.0
2025-11-02 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 06:00:00,11.0,2.0,20.8,9.0,11.0
2025-11-03 07:00:00,143.0,79.0,328.4,64.0,143.0
2025-11-03 08:00:00,310.0,179.0,382.3,131.0,310.0
2025-11-03 09:00:00,566.0,428.0,646.8,138.0,566.0
2025-11-03 10:00:00,713.0,532.0,658.4,181.0,713.0
2025-11-03 11:00:00,798.0,631.0,703.5,167.0,798.0
2025-11-03 12:00:00,859.0,661.0,716.4,198.0,859.0
2025-11-03 13:00:00,809.0,634.0,717.8,175.0,809.0
2025-11-03 14:00:00,721.0,569.0,728.2,152.0,721.0
2025-11-03 15:00:00,526.0,410.0,656.8,116.0,526.0
2025-11-03 16:00:00,324.0,227.0,537.6,97.0,324.0
2025-11-03 17:00:00,129.0,81.0,421.0,48.0,129.0
2025-11-03 18:00:00,4.0,1.0,14.4,3.0,4.0
2025-11-03 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 06:00:00,13.0,4.0,41.9,9.0,13.0
2025-11-04 07:00:00,152.0,73.0,304.9,79.0,152.0
2025-11-04 08:00:00,368.0,243.0,520.6,125.0,368.0
2025-11-04 09:00:00,532.0,369.0,559.0,163.0,532.0
2025-11-04 10:00:00,660.0,464.0,575.6,196.0,660.0
2025-11-04 11:00:00,731.0,556.0,621.3,175.0,731.0
2025-11-04 12:00:00,855.0,679.0,737.6,176.0,855.0
2025-11-04 13:00:00,851.0,711.0,806.8,140.0,851.0
2025-11-04 14:00:00,650.0,486.0,623.4,164.0,650.0
2025-11-04 15:00:00,502.0,363.0,583.0,139.0,502.0
2025-11-04 16:00:00,340.0,248.0,589.0,92.0,340.0
2025-11-04 17:00:00,115.0,61.0,317.9,54.0,115.0
2025-11-04 18:00:00,3.0,1.0,14.4,2.0,3.0
2025-11-04 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-05 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-05 01:00:00,0.0,0.0,0.0,0.0,0.0
