time,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,global_tilted_irradiance
2025-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 06:00:00,21.0,10.0,95.0,11.0,21.0
2025-11-01 07:00:00,208.0,146.0,563.7,62.0,208.0
2025-11-01 08:00:00,465.0,394.0,811.1,71.0,465.0
2025-11-01 09:00:00,683.0,596.0,879.9,87.0,683.0
2025-11-01 10:00:00,816.0,699.0,851.7,117.0,816.0
2025-11-01 11:00:00,813.0,606.0,668.7,207.0,813.0
2025-11-01 12:00:00,859.0,684.0,737.2,175.0,859.0
2025-11-01 13:00:00,781.0,611.0,691.0,170.0,781.0
2025-11-01 14:00:00,683.0,530.0,680.9,153.0,683.0
2025-11-01 15:00:00,455.0,325.0,526.3,130.0,455.0
2025-11-01 16:00:00,230.0,120.0,290.9,110.0,230.0
2025-11-01 17:00:00,72.0,36.0,192.8,36.0,72.0
2025-11-01 18:00:00,2.0,0.0,0.0,2.0,2.0
2025-11-01 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 06:00:00,22.0,13.0,124.0,9.0,22.0
2025-11-02 07:00:00,206.0,155.0,600.7,51.0,206.0
2025-11-02 08:00:00,456.0,384.0,792.7,72.0,456.0
2025-11-02 09:00:00,676.0,581.0,859.8,95.0,676.0
2025-11-02 10:00:00,797.0,670.0,818.1,127.0,797.0
2025-11-02 11:00:00,727.0,508.0,561.8,219.0,727.0
2025-11-02 12:00:00,733.0,543.0,586.5,190.0,733.0
2025-11-02 13:00:00,660.0,352.0,398.9,308.0,660.0
2025-11-02 14:00:00,557.0,278.0,358.0,279.0,557.0
2025-11-02 15:00:00,493.0,350.0,568.3,143.0,493.0
2025-11-02 16:00:00,265.0,140.0,340.5,125.0,265.0
2025-11-02 17:00:00,125.0,83.0,446.0,42.0,125.0
2025-11-02 18:00:00,2.0,0.0,0.0,2.0,2.0
2025-11-02 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 06:00:00,21.0,9.0,86.2,12.0,21.0
2025-11-03 07:00:00,214.0,158.0,614.8,56.0,214.0
2025-11-03 08:00:00,472.0,406.0,840.4,66.0,472.0
2025-11-03 09:00:00,698.0,620.0,919.7,78.0,698.0
2025-11-03 10:00:00,866.0,778.0,952.1,88.0,866.0
2025-11-03 11:00:00,899.0,786.0,871.1,113.0,899.0
2025-11-03 12:00:00,882.0,729.0,789.1,153.0,882.0
2025-11-03 13:00:00,759.0,605.0,687.2,154.0,759.0
2025-11-03 14:00:00,751.0,609.0,786.0,142.0,751.0
2025-11-03 15:00:00,539.0,420.0,683.6,119.0,539.0
2025-11-03 16:00:00,315.0,233.0,568.4,82.0,315.0
2025-11-03 17:00:00,117.0,77.0,414.9,40.0,117.0
2025-11-03 18:00:00,2.0,1.0,16.0,1.0,2.0
2025-11-03 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 06:00:00,21.0,9.0,86.6,12.0,21.0
2025-11-04 07:00:00,185.0,98.0,382.9,87.0,185.0
2025-11-04 08:00:00,439.0,325.0,674.7,114.0,439.0
2025-11-04 09:00:00,695.0,612.0,910.1,83.0,695.0
2025-11-04 10:00:00,866.0,775.0,950.6,91.0,866.0
2025-11-04 11:00:00,928.0,827.0,918.5,101.0,928.0
2025-11-04 12:00:00,953.0,846.0,917.7,107.0,953.0
2025-11-04 13:00:00,846.0,704.0,801.4,142.0,846.0
2025-11-04 14:00:00,734.0,621.0,803.2,113.0,734.0
2025-11-04 15:00:00,508.0,400.0,652.6,108.0,508.0
2025-11-04 16:00:00,362.0,288.0,704.5,74.0,362.0
2025-11-04 17:00:00,127.0,90.0,486.3,37.0,127.0
2025-11-04 18:00:00,2.0,1.0,16.1,1.0,2.0
2025-11-04 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-05 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-05 01:00:00,0.0,0.0,0.0,0.0,0.0
