time,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,global_tilted_irradiance
2025-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 06:00:00,17.0,6.0,59.0,11.0,17.0
2025-11-01 07:00:00,200.0,147.0,583.2,53.0,200.0
2025-11-01 08:00:00,444.0,366.0,764.0,78.0,444.0
2025-11-01 09:00:00,669.0,583.0,868.5,86.0,669.0
2025-11-01 10:00:00,831.0,728.0,892.7,103.0,831.0
2025-11-01 11:00:00,923.0,824.0,913.5,99.0,923.0
2025-11-01 12:00:00,894.0,762.0,823.9,132.0,894.0
2025-11-01 13:00:00,860.0,737.0,835.1,123.0,860.0
2025-11-01 14:00:00,738.0,637.0,818.8,101.0,738.0
2025-11-01 15:00:00,523.0,401.0,648.8,122.0,523.0
2025-11-01 16:00:00,250.0,162.0,391.3,88.0,250.0
2025-11-01 17:00:00,105.0,62.0,330.3,43.0,105.0
2025-11-01 18:00:00,2.0,0.0,0.0,2.0,2.0
2025-11-01 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 06:00:00,16.0,6.0,59.2,10.0,16.0
2025-11-02 07:00:00,175.0,109.0,434.2,66.0,175.0
2025-11-02 08:00:00,428.0,345.0,722.2,83.0,428.0
2025-11-02 09:00:00,614.0,512.0,764.6,102.0,614.0
2025-11-02 10:00:00,765.0,633.0,777.9,132.0,765.0
2025-11-02 11:00:00,789.0,648.0,720.0,141.0,789.0
2025-11-02 12:00:00,892.0,765.0,828.9,127.0,892.0
2025-11-02 13:00:00,744.0,554.0,629.1,190.0,744.0
2025-11-02 14:00:00,673.0,516.0,664.9,157.0,673.0
2025-11-02 15:00:00,342.0,203.0,329.3,139.0,342.0
2025-11-02 16:00:00,275.0,160.0,387.7,115.0,275.0
2025-11-02 17:00:00,109.0,60.0,320.7,49.0,109.0
2025-11-02 18:00:00,2.0,0.0,0.0,2.0,2.0
2025-11-02 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 06:00:00,12.0,1.0,9.9,11.0,12.0
2025-11-03 07:00:00,131.0,43.0,172.0,88.0,131.0
2025-11-03 08:00:00,387.0,259.0,543.7,128.0,387.0
2025-11-03 09:00:00,666.0,565.0,845.8,101.0,666.0
2025-11-03 10:00:00,816.0,705.0,868.4,111.0,816.0
2025-11-03 11:00:00,904.0,747.0,831.8,157.0,904.0
2025-11-03 12:00:00,946.0,828.0,899.2,118.0,946.0
2025-11-03 13:00:00,849.0,712.0,810.4,137.0,849.0
2025-11-03 14:00:00,734.0,601.0,776.2,133.0,734.0
2025-11-03 15:00:00,518.0,385.0,626.1,133.0,518.0
2025-11-03 16:00:00,341.0,260.0,632.0,81.0,341.0
2025-11-03 17:00:00,101.0,54.0,289.5,47.0,101.0
2025-11-03 18:00:00,3.0,1.0,15.7,2.0,3.0
2025-11-03 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 06:00:00,13.0,4.0,39.8,9.0,13.0
2025-11-04 07:00:00,159.0,79.0,317.4,80.0,159.0
2025-11-04 08:00:00,419.0,320.0,673.8,99.0,419.0
2025-11-04 09:00:00,487.0,295.0,442.8,192.0,487.0
2025-11-04 10:00:00,712.0,495.0,611.2,217.0,712.0
2025-11-04 11:00:00,875.0,726.0,810.2,149.0,875.0
2025-11-04 12:00:00,937.0,837.0,910.9,100.0,937.0
2025-11-04 13:00:00,826.0,707.0,806.5,119.0,826.0
2025-11-04 14:00:00,713.0,591.0,765.0,122.0,713.0
2025-11-04 15:00:00,545.0,433.0,705.9,112.0,545.0
2025-11-04 16:00:00,307.0,222.0,541.2,85.0,307.0
2025-11-04 17:00:00,120.0,76.0,408.6,44.0,120.0
2025-11-04 18:00:00,2.0,1.0,15.8,1.0,2.0
2025-11-04 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-05 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-05 01:00:00,0.0,0.0,0.0,0.0,0.0
