time,shortwave_radiation,direct_radiation,direct_normal_irradiance,diffuse_radiation,global_tilted_irradiance
2025-11-01 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 06:00:00,19.0,9.0,86.4,10.0,19.0
2025-11-01 07:00:00,192.0,133.0,516.8,59.0,192.0
2025-11-01 08:00:00,428.0,346.0,713.2,82.0,428.0
2025-11-01 09:00:00,647.0,553.0,815.5,94.0,647.0
2025-11-01 10:00:00,794.0,677.0,822.6,117.0,794.0
2025-11-01 11:00:00,872.0,725.0,796.6,147.0,872.0
2025-11-01 12:00:00,805.0,611.0,654.6,194.0,805.0
2025-11-01 13:00:00,767.0,604.0,677.7,163.0,767.0
2025-11-01 14:00:00,732.0,594.0,755.1,138.0,732.0
2025-11-01 15:00:00,562.0,459.0,732.5,103.0,562.0
2025-11-01 16:00:00,320.0,242.0,573.2,78.0,320.0
2025-11-01 17:00:00,90.0,39.0,203.4,51.0,90.0
2025-11-01 18:00:00,3.0,1.0,14.7,2.0,3.0
2025-11-01 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-01 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 06:00:00,18.0,8.0,77.0,10.0,18.0
2025-11-02 07:00:00,188.0,127.0,495.1,61.0,188.0
2025-11-02 08:00:00,414.0,325.0,671.6,89.0,414.0
2025-11-02 09:00:00,599.0,486.0,718.3,113.0,599.0
2025-11-02 10:00:00,752.0,626.0,762.2,126.0,752.0
2025-11-02 11:00:00,745.0,568.0,625.4,177.0,745.0
2025-11-02 12:00:00,904.0,772.0,828.8,132.0,904.0
2025-11-02 13:00:00,844.0,725.0,815.2,119.0,844.0
2025-11-02 14:00:00,739.0,632.0,805.2,107.0,739.0
2025-11-02 15:00:00,572.0,456.0,729.5,116.0,572.0
2025-11-02 16:00:00,346.0,255.0,605.7,91.0,346.0
2025-11-02 17:00:00,118.0,74.0,387.0,44.0,118.0
2025-11-02 18:00:00,3.0,1.0,14.8,2.0,3.0
2025-11-02 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-02 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 06:00:00,18.0,6.0,58.0,12.0,18.0
2025-11-03 07:00:00,185.0,112.0,438.3,73.0,185.0
2025-11-03 08:00:00,430.0,338.0,700.3,92.0,430.0
2025-11-03 09:00:00,644.0,535.0,792.5,109.0,644.0
2025-11-03 10:00:00,811.0,697.0,850.5,114.0,811.0
2025-11-03 11:00:00,877.0,723.0,797.7,154.0,877.0
2025-11-03 12:00:00,675.0,405.0,435.7,270.0,675.0
2025-11-03 13:00:00,820.0,599.0,674.9,221.0,820.0
2025-11-03 14:00:00,775.0,652.0,832.5,123.0,775.0
2025-11-03 15:00:00,574.0,464.0,744.0,110.0,574.0
2025-11-03 16:00:00,369.0,296.0,705.1,73.0,369.0
2025-11-03 17:00:00,116.0,69.0,361.8,47.0,116.0
2025-11-03 18:00:00,3.0,1.0,14.8,2.0,3.0
2025-11-03 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-03 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 01:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 02:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 03:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 04:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 05:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 06:00:00,14.0,1.0,9.7,13.0,14.0
2025-11-04 07:00:00,142.0,38.0,149.3,104.0,142.0
2025-11-04 08:00:00,363.0,201.0,417.6,162.0,363.0
2025-11-04 09:00:00,543.0,312.0,463.3,231.0,543.0
2025-11-04 10:00:00,618.0,290.0,354.6,328.0,618.0
2025-11-04 11:00:00,527.0,144.0,159.2,383.0,527.0
2025-11-04 12:00:00,629.0,221.0,238.2,408.0,629.0
2025-11-04 13:00:00,711.0,423.0,477.6,288.0,711.0
2025-11-04 14:00:00,615.0,350.0,447.8,265.0,615.0
2025-11-04 15:00:00,461.0,274.0,440.3,187.0,461.0
2025-11-04 16:00:00,317.0,219.0,523.0,98.0,317.0
2025-11-04 17:00:00,118.0,73.0,383.8,45.0,118.0
2025-11-04 18:00:00,3.0,1.0,14.9,2.0,3.0
2025-11-04 19:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 20:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 21:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 22:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-04 23:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-05 00:00:00,0.0,0.0,0.0,0.0,0.0
2025-11-05 01:00:00,0.0,0.0,0.0,0.0,0.0
