dhi,dni,ghi,gti,period_end,period
13,68,21,28,2025-11-01 06:30:00+05:30,PT1H
84,416,196,239,2025-11-01 07:30:00+05:30,PT1H
140,583,424,479,2025-11-01 08:30:00+05:30,PT1H
237,521,589,633,2025-11-01 09:30:00+05:30,PT1H
374,346,657,680,2025-11-01 10:30:00+05:30,PT1H
519,92,602,594,2025-11-01 11:30:00+05:30,PT1H
462,0,462,446,2025-11-01 12:30:00+05:30,PT1H
371,0,371,357,2025-11-01 13:30:00+05:30,PT1H
180,0,180,173,2025-11-01 14:30:00+05:30,PT1H
144,0,144,139,2025-11-01 15:30:00+05:30,PT1H
93,0,93,90,2025-11-01 16:30:00+05:30,PT1H
30,0,30,28,2025-11-01 17:30:00+05:30,PT1H
1,0,1,1,2025-11-01 18:30:00+05:30,PT1H
0,0,0,0,2025-11-01 19:30:00+05:30,PT1H
0,0,0,0,2025-11-01 20:30:00+05:30,PT1H
0,0,0,0,2025-11-01 21:30:00+05:30,PT1H
0,0,0,0,2025-11-01 22:30:00+05:30,PT1H
0,0,0,0,2025-11-01 23:30:00+05:30,PT1H
0,0,0,0,2025-11-02 00:30:00+05:30,PT1H
0,0,0,0,2025-11-02 01:30:00+05:30,PT1H
0,0,0,0,2025-11-02 02:30:00+05:30,PT1H
0,0,0,0,2025-11-02 03:30:00+05:30,PT1H
0,0,0,0,2025-11-02 04:30:00+05:30,PT1H
0,0,0,0,2025-11-02 05:30:00+05:30,PT1H
12,0,12,11,2025-11-02 06:30:00+05:30,PT1H
87,0,87,84,2025-11-02 07:30:00+05:30,PT1H
176,0,176,170,2025-11-02 08:30:00+05:30,PT1H
337,91,404,403,2025-11-02 09:30:00+05:30,PT1H
431,226,613,624,2025-11-02 10:30:00+05:30,PT1H
508,165,659,660,2025-11-02 11:30:00+05:30,PT1H
559,13,570,552,2025-11-02 12:30:00+05:30,PT1H
349,0,349,337,2025-11-02 13:30:00+05:30,PT1H
290,0,290,280,2025-11-02 14:30:00+05:30,PT1H
128,0,128,123,2025-11-02 15:30:00+05:30,PT1H
40,0,40,38,2025-11-02 16:30:00+05:30,PT1H
28,0,28,27,2025-11-02 17:30:00+05:30,PT1H
0,0,0,0,2025-11-02 18:30:00+05:30,PT1H
0,0,0,0,2025-11-02 19:30:00+05:30,PT1H
0,0,0,0,2025-11-02 20:30:00+05:30,PT1H
0,0,0,0,2025-11-02 21:30:00+05:30,PT1H
0,0,0,0,2025-11-02 22:30:00+05:30,PT1H
0,0,0,0,2025-11-02 23:30:00+05:30,PT1H
0,0,0,0,2025-11-03 00:30:00+05:30,PT1H
0,0,0,0,2025-11-03 01:30:00+05:30,PT1H
0,0,0,0,2025-11-03 02:30:00+05:30,PT1H
0,0,0,0,2025-11-03 03:30:00+05:30,PT1H
0,0,0,0,2025-11-03 04:30:00+05:30,PT1H
0,0,0,0,2025-11-03 05:30:00+05:30,PT1H
16,15,17,19,2025-11-03 06:30:00+05:30,PT1H
75,460,203,252,2025-11-03 07:30:00+05:30,PT1H
104,717,451,519,2025-11-03 08:30:00+05:30,PT1H
116,821,674,746,2025-11-03 09:30:00+05:30,PT1H
116,896,851,924,2025-11-03 10:30:00+05:30,PT1H
213,755,896,957,2025-11-03 11:30:00+05:30,PT1H
398,416,785,815,2025-11-03 12:30:00+05:30,PT1H
534,13,546,529,2025-11-03 13:30:00+05:30,PT1H
384,0,385,371,2025-11-03 14:30:00+05:30,PT1H
296,0,296,285,2025-11-03 15:30:00+05:30,PT1H
185,0,185,178,2025-11-03 16:30:00+05:30,PT1H
85,41,91,93,2025-11-03 17:30:00+05:30,PT1H
2,0,2,2,2025-11-03 18:30:00+05:30,PT1H
0,0,0,0,2025-11-03 19:30:00+05:30,PT1H
0,0,0,0,2025-11-03 20:30:00+05:30,PT1H
0,0,0,0,2025-11-03 21:30:00+05:30,PT1H
0,0,0,0,2025-11-03 22:30:00+05:30,PT1H
0,0,0,0,2025-11-03 23:30:00+05:30,PT1H
0,0,0,0,2025-11-04 00:30:00+05:30,PT1H
0,0,0,0,2025-11-04 01:30:00+05:30,PT1H
0,0,0,0,2025-11-04 02:30:00+05:30,PT1H
0,0,0,0,2025-11-04 03:30:00+05:30,PT1H
0,0,0,0,2025-11-04 04:30:00+05:30,PT1H
0,0,0,0,2025-11-04 05:30:00+05:30,PT1H
15,10,16,17,2025-11-04 06:30:00+05:30,PT1H
110,193,170,190,2025-11-04 07:30:00+05:30,PT1H
168,509,405,456,2025-11-04 08:30:00+05:30,PT1H
