dhi,dni,ghi,gti,period_end,period
10,36,14,18,2025-11-01 06:30:00+05:30,PT1H
72,383,172,212,2025-11-01 07:30:00+05:30,PT1H
112,612,405,462,2025-11-01 08:30:00+05:30,PT1H
135,724,620,682,2025-11-01 09:30:00+05:30,PT1H
244,591,726,774,2025-11-01 10:30:00+05:30,PT1H
331,488,773,810,2025-11-01 11:30:00+05:30,PT1H
260,641,856,907,2025-11-01 12:30:00+05:30,PT1H
224,683,832,886,2025-11-01 13:30:00+05:30,PT1H
169,729,744,804,2025-11-01 14:30:00+05:30,PT1H
155,646,563,620,2025-11-01 15:30:00+05:30,PT1H
122,509,342,392,2025-11-01 16:30:00+05:30,PT1H
65,149,105,119,2025-11-01 17:30:00+05:30,PT1H
1,0,1,1,2025-11-01 18:30:00+05:30,PT1H
0,0,0,0,2025-11-01 19:30:00+05:30,PT1H
0,0,0,0,2025-11-01 20:30:00+05:30,PT1H
0,0,0,0,2025-11-01 21:30:00+05:30,PT1H
0,0,0,0,2025-11-01 22:30:00+05:30,PT1H
0,0,0,0,2025-11-01 23:30:00+05:30,PT1H
0,0,0,0,2025-11-02 00:30:00+05:30,PT1H
0,0,0,0,2025-11-02 01:30:00+05:30,PT1H
0,0,0,0,2025-11-02 02:30:00+05:30,PT1H
0,0,0,0,2025-11-02 03:30:00+05:30,PT1H
0,0,0,0,2025-11-02 04:30:00+05:30,PT1H
0,0,0,0,2025-11-02 05:30:00+05:30,PT1H
9,0,9,9,2025-11-02 06:30:00+05:30,PT1H
117,19,122,120,2025-11-02 07:30:00+05:30,PT1H
237,117,298,304,2025-11-02 08:30:00+05:30,PT1H
359,115,436,438,2025-11-02 09:30:00+05:30,PT1H
369,318,629,652,2025-11-02 10:30:00+05:30,PT1H
362,431,750,783,2025-11-02 11:30:00+05:30,PT1H
420,338,734,757,2025-11-02 12:30:00+05:30,PT1H
417,300,685,704,2025-11-02 13:30:00+05:30,PT1H
223,617,706,758,2025-11-02 14:30:00+05:30,PT1H
165,618,555,612,2025-11-02 15:30:00+05:30,PT1H
127,486,336,385,2025-11-02 16:30:00+05:30,PT1H
68,201,114,135,2025-11-02 17:30:00+05:30,PT1H
2,0,2,2,2025-11-02 18:30:00+05:30,PT1H
0,0,0,0,2025-11-02 19:30:00+05:30,PT1H
0,0,0,0,2025-11-02 20:30:00+05:30,PT1H
0,0,0,0,2025-11-02 21:30:00+05:30,PT1H
0,0,0,0,2025-11-02 22:30:00+05:30,PT1H
0,0,0,0,2025-11-02 23:30:00+05:30,PT1H
0,0,0,0,2025-11-03 00:30:00+05:30,PT1H
0,0,0,0,2025-11-03 01:30:00+05:30,PT1H
0,0,0,0,2025-11-03 02:30:00+05:30,PT1H
0,0,0,0,2025-11-03 03:30:00+05:30,PT1H
0,0,0,0,2025-11-03 04:30:00+05:30,PT1H
0,0,0,0,2025-11-03 05:30:00+05:30,PT1H
11,8,11,12,2025-11-03 06:30:00+05:30,PT1H
95,217,150,173,2025-11-03 07:30:00+05:30,PT1H
179,370,358,394,2025-11-03 08:30:00+05:30,PT1H
282,359,518,549,2025-11-03 09:30:00+05:30,PT1H
339,394,660,692,2025-11-03 10:30:00+05:30,PT1H
355,449,761,797,2025-11-03 11:30:00+05:30,PT1H
410,367,751,778,2025-11-03 12:30:00+05:30,PT1H
403,344,708,734,2025-11-03 13:30:00+05:30,PT1H
320,412,645,680,2025-11-03 14:30:00+05:30,PT1H
269,347,484,515,2025-11-03 15:30:00+05:30,PT1H
136,458,334,381,2025-11-03 16:30:00+05:30,PT1H
69,175,112,131,2025-11-03 17:30:00+05:30,PT1H
3,0,3,3,2025-11-03 18:30:00+05:30,PT1H
0,0,0,0,2025-11-03 19:30:00+05:30,PT1H
0,0,0,0,2025-11-03 20:30:00+05:30,PT1H
