dhi,dni,ghi,gti,period_end,period
16,49,21,26,2025-11-01 06:30:00+05:30,PT1H
62,564,218,274,2025-11-01 07:30:00+05:30,PT1H
157,543,420,471,2025-11-01 08:30:00+05:30,PT1H
230,549,601,649,2025-11-01 09:30:00+05:30,PT1H
391,317,650,670,2025-11-01 10:30:00+05:30,PT1H
473,234,686,696,2025-11-01 11:30:00+05:30,PT1H
524,43,564,551,2025-11-01 12:30:00+05:30,PT1H
398,0,398,384,2025-11-01 13:30:00+05:30,PT1H
292,0,292,282,2025-11-01 14:30:00+05:30,PT1H
188,0,188,181,2025-11-01 15:30:00+05:30,PT1H
41,0,41,39,2025-11-01 16:30:00+05:30,PT1H
9,0,9,9,2025-11-01 17:30:00+05:30,PT1H
1,0,1,1,2025-11-01 18:30:00+05:30,PT1H
0,0,0,0,2025-11-01 19:30:00+05:30,PT1H
0,0,0,0,2025-11-01 20:30:00+05:30,PT1H
0,0,0,0,2025-11-01 21:30:00+05:30,PT1H
0,0,0,0,2025-11-01 22:30:00+05:30,PT1H
0,0,0,0,2025-11-01 23:30:00+05:30,PT1H
0,0,0,0,2025-11-02 00:30:00+05:30,PT1H
0,0,0,0,2025-11-02 01:30:00+05:30,PT1H
0,0,0,0,2025-11-02 02:30:00+05:30,PT1H
0,0,0,0,2025-11-02 03:30:00+05:30,PT1H
0,0,0,0,2025-11-02 04:30:00+05:30,PT1H
0,0,0,0,2025-11-02 05:30:00+05:30,PT1H
13,0,13,13,2025-11-02 06:30:00+05:30,PT1H
99,0,99,96,2025-11-02 07:30:00+05:30,PT1H
217,0,217,209,2025-11-02 08:30:00+05:30,PT1H
387,73,437,433,2025-11-02 09:30:00+05:30,PT1H
471,130,577,577,2025-11-02 10:30:00+05:30,PT1H
407,395,767,795,2025-11-02 11:30:00+05:30,PT1H
468,244,695,705,2025-11-02 12:30:00+05:30,PT1H
334,0,334,323,2025-11-02 13:30:00+05:30,PT1H
187,0,187,180,2025-11-02 14:30:00+05:30,PT1H
168,0,168,162,2025-11-02 15:30:00+05:30,PT1H
153,0,153,148,2025-11-02 16:30:00+05:30,PT1H
49,0,49,48,2025-11-02 17:30:00+05:30,PT1H
0,0,0,0,2025-11-02 18:30:00+05:30,PT1H
0,0,0,0,2025-11-02 19:30:00+05:30,PT1H
0,0,0,0,2025-11-02 20:30:00+05:30,PT1H
0,0,0,0,2025-11-02 21:30:00+05:30,PT1H
0,0,0,0,2025-11-02 22:30:00+05:30,PT1H
0,0,0,0,2025-11-02 23:30:00+05:30,PT1H
0,0,0,0,2025-11-03 00:30:00+05:30,PT1H
0,0,0,0,2025-11-03 01:30:00+05:30,PT1H
0,0,0,0,2025-11-03 02:30:00+05:30,PT1H
0,0,0,0,2025-11-03 03:30:00+05:30,PT1H
0,0,0,0,2025-11-03 04:30:00+05:30,PT1H
0,0,0,0,2025-11-03 05:30:00+05:30,PT1H
16,15,18,19,2025-11-03 06:30:00+05:30,PT1H
89,356,195,233,2025-11-03 07:30:00+05:30,PT1H
101,724,457,526,2025-11-03 08:30:00+05:30,PT1H
141,772,663,732,2025-11-03 09:30:00+05:30,PT1H
197,740,804,868,2025-11-03 10:30:00+05:30,PT1H
262,669,868,923,2025-11-03 11:30:00+05:30,PT1H
423,372,768,794,2025-11-03 12:30:00+05:30,PT1H
519,33,549,535,2025-11-03 13:30:00+05:30,PT1H
325,0,325,314,2025-11-03 14:30:00+05:30,PT1H
192,0,192,186,2025-11-03 15:30:00+05:30,PT1H
200,55,218,218,2025-11-03 16:30:00+05:30,PT1H
71,208,113,136,2025-11-03 17:30:00+05:30,PT1H
2,0,2,2,2025-11-03 18:30:00+05:30,PT1H
0,0,0,0,2025-11-03 19:30:00+05:30,PT1H
0,0,0,0,2025-11-03 20:30:00+05:30,PT1H
0,0,0,0,2025-11-03 21:30:00+05:30,PT1H
0,0,0,0,2025-11-03 22:30:00+05:30,PT1H
0,0,0,0,2025-11-03 23:30:00+05:30,PT1H
0,0,0,0,2025-11-04 00:30:00+05:30,PT1H
0,0,0,0,2025-11-04 01:30:00+05:30,PT1H
0,0,0,0,2025-11-04 02:30:00+05:30,PT1H
0,0,0,0,2025-11-04 03:30:00+05:30,PT1H
0,0,0,0,2025-11-04 04:30:00+05:30,PT1H
0,0,0,0,2025-11-04 05:30:00+05:30,PT1H
15,0,15,14,2025-11-04 06:30:00+05:30,PT1H
84,386,200,241,2025-11-04 07:30:00+05:30,PT1H
211,351,380,415,2025-11-04 08:30:00+05:30,PT1H
124,815,678,752,2025-11-04 09:30:00+05:30,PT1H
134,872,847,921,2025-11-04 10:30:00+05:30,PT1H
404,388,752,781,2025-11-04 11:30:00+05:30,PT1H
538,30,566,551,2025-11-04 12:30:00+05:30,PT1H
528,24,549,534,2025-11-04 13:30:00+05:30,PT1H
449,22,467,454,2025-11-04 14:30:00+05:30,PT1H
212,0,212,204,2025-11-04 15:30:00+05:30,PT1H
176,11,179,175,2025-11-04 16:30:00+05:30,PT1H
81,120,103,116,2025-11-04 17:30:00+05:30,PT1H
2,0,2,2,2025-11-04 18:30:00+05:30,PT1H
0,0,0,0,2025-11-04 19:30:00+05:30,PT1H
0,0,0,0,2025-11-04 20:30:00+05:30,PT1H
0,0,0,0,2025-11-04 21:30:00+05:30,PT1H
0,0,0,0,2025-11-04 22:30:00+05:30,PT1H
0,0,0,0,2025-11-04 23:30:00+05:30,PT1H
0,0,0,0,2025-11-05 00:30:00+05:30,PT1H
0,0,0,0,2025-11-05 01:30:00+05:30,PT1H
0,0,0,0,2025-11-05 02:30:00+05:30,PT1H
0,0,0,0,2025-11-05 03:30:00+05:30,PT1H
0,0,0,0,2025-11-05 04:30:00+05:30,PT1H
0,0,0,0,2025-11-05 05:30:00+05:30,PT1H
13,99,23,34,2025-11-05 06:30:00+05:30,PT1H
59,596,219,284,2025-11-05 07:30:00+05:30,PT1H
80,802,470,549,2025-11-05 08:30:00+05:30,PT1H
94,887,692,773,2025-11-05 09:30:00+05:30,PT1H
123,888,847,924,2025-11-05 10:30:00+05:30,PT1H
369,456,782,820,2025-11-05 11:30:00+05:30,PT1H
439,328,743,766,2025-11-05 12:30:00+05:30,PT1H
524,13,535,519,2025-11-05 13:30:00+05:30,PT1H
456,31,480,469,2025-11-05 14:30:00+05:30,PT1H
335,69,380,378,2025-11-05 15:30:00+05:30,PT1H
221,56,244,244,2025-11-05 16:30:00+05:30,PT1H
85,47,96,100,2025-11-05 17:30:00+05:30,PT1H
