dhi,dni,ghi,gti,period_end,period
13,43,18,22,2025-11-01 06:30:00+05:30,PT1H
79,397,188,229,2025-11-01 07:30:00+05:30,PT1H
98,700,438,503,2025-11-01 08:30:00+05:30,PT1H
114,804,657,726,2025-11-01 09:30:00+05:30,PT1H
123,856,824,894,2025-11-01 10:30:00+05:30,PT1H
130,878,925,993,2025-11-01 11:30:00+05:30,PT1H
191,780,915,977,2025-11-01 12:30:00+05:30,PT1H
270,612,813,863,2025-11-01 13:30:00+05:30,PT1H
283,74,345,343,2025-11-01 14:30:00+05:30,PT1H
46,0,46,45,2025-11-01 15:30:00+05:30,PT1H
95,0,95,92,2025-11-01 16:30:00+05:30,PT1H
58,0,58,56,2025-11-01 17:30:00+05:30,PT1H
1,0,1,1,2025-11-01 18:30:00+05:30,PT1H
0,0,0,0,2025-11-01 19:30:00+05:30,PT1H
0,0,0,0,2025-11-01 20:30:00+05:30,PT1H
0,0,0,0,2025-11-01 21:30:00+05:30,PT1H
0,0,0,0,2025-11-01 22:30:00+05:30,PT1H
0,0,0,0,2025-11-01 23:30:00+05:30,PT1H
0,0,0,0,2025-11-02 00:30:00+05:30,PT1H
0,0,0,0,2025-11-02 01:30:00+05:30,PT1H
0,0,0,0,2025-11-02 02:30:00+05:30,PT1H
0,0,0,0,2025-11-02 03:30:00+05:30,PT1H
0,0,0,0,2025-11-02 04:30:00+05:30,PT1H
0,0,0,0,2025-11-02 05:30:00+05:30,PT1H
9,0,9,9,2025-11-02 06:30:00+05:30,PT1H
94,0,94,90,2025-11-02 07:30:00+05:30,PT1H
243,0,243,234,2025-11-02 08:30:00+05:30,PT1H
376,99,445,445,2025-11-02 09:30:00+05:30,PT1H
307,481,705,745,2025-11-02 10:30:00+05:30,PT1H
290,603,835,885,2025-11-02 11:30:00+05:30,PT1H
400,416,785,817,2025-11-02 12:30:00+05:30,PT1H
362,451,761,798,2025-11-02 13:30:00+05:30,PT1H
309,454,665,704,2025-11-02 14:30:00+05:30,PT1H
262,369,492,525,2025-11-02 15:30:00+05:30,PT1H
196,173,275,289,2025-11-02 16:30:00+05:30,PT1H
79,38,89,91,2025-11-02 17:30:00+05:30,PT1H
1,0,1,1,2025-11-02 18:30:00+05:30,PT1H
0,0,0,0,2025-11-02 19:30:00+05:30,PT1H
0,0,0,0,2025-11-02 20:30:00+05:30,PT1H
0,0,0,0,2025-11-02 21:30:00+05:30,PT1H
0,0,0,0,2025-11-02 22:30:00+05:30,PT1H
0,0,0,0,2025-11-02 23:30:00+05:30,PT1H
0,0,0,0,2025-11-03 00:30:00+05:30,PT1H
0,0,0,0,2025-11-03 01:30:00+05:30,PT1H
0,0,0,0,2025-11-03 02:30:00+05:30,PT1H
0,0,0,0,2025-11-03 03:30:00+05:30,PT1H
0,0,0,0,2025-11-03 04:30:00+05:30,PT1H
0,0,0,0,2025-11-03 05:30:00+05:30,PT1H
14,2,14,14,2025-11-03 06:30:00+05:30,PT1H
122,75,147,152,2025-11-03 07:30:00+05:30,PT1H
151,506,405,455,2025-11-03 08:30:00+05:30,PT1H
120,804,660,734,2025-11-03 09:30:00+05:30,PT1H
136,848,827,901,2025-11-03 10:30:00+05:30,PT1H
149,862,927,1000,2025-11-03 11:30:00+05:30,PT1H
157,860,952,1024,2025-11-03 12:30:00+05:30,PT1H
159,838,899,971,2025-11-03 13:30:00+05:30,PT1H
158,789,772,843,2025-11-03 14:30:00+05:30,PT1H
148,698,581,648,2025-11-03 15:30:00+05:30,PT1H
120,542,348,404,2025-11-03 16:30:00+05:30,PT1H
72,123,103,116,2025-11-03 17:30:00+05:30,PT1H
2,0,2,2,2025-11-03 18:30:00+05:30,PT1H
0,0,0,0,2025-11-03 19:30:00+05:30,PT1H
0,0,0,0,2025-11-03 20:30:00+05:30,PT1H
0,0,0,0,2025-11-03 21:30:00+05:30,PT1H
0,0,0,0,2025-11-03 22:30:00+05:30,PT1H
0,0,0,0,2025-11-03 23:30:00+05:30,PT1H
0,0,0,0,2025-11-04 00:30:00+05:30,PT1H
0,0,0,0,2025-11-04 01:30:00+05:30,PT1H
0,0,0,0,2025-11-04 02:30:00+05:30,PT1H
0,0,0,0,2025-11-04 03:30:00+05:30,PT1H
0,0,0,0,2025-11-04 04:30:00+05:30,PT1H
0,0,0,0,2025-11-04 05:30:00+05:30,PT1H
11,0,11,10,2025-11-04 06:30:00+05:30,PT1H
93,241,166,192,2025-11-04 07:30:00+05:30,PT1H
191,390,372,413,2025-11-04 08:30:00+05:30,PT1H
314,281,508,531,2025-11-04 09:30:00+05:30,PT1H
260,592,738,792,2025-11-04 10:30:00+05:30,PT1H
351,475,778,819,2025-11-04 11:30:00+05:30,PT1H
370,455,790,829,2025-11-04 12:30:00+05:30,PT1H
356,440,744,782,2025-11-04 13:30:00+05:30,PT1H
356,322,607,634,2025-11-04 14:30:00+05:30,PT1H
231,462,507,552,2025-11-04 15:30:00+05:30,PT1H
139,464,332,382,2025-11-04 16:30:00+05:30,PT1H
72,124,104,117,2025-11-04 17:30:00+05:30,PT1H
2,0,2,2,2025-11-04 18:30:00+05:30,PT1H
0,0,0,0,2025-11-04 19:30:00+05:30,PT1H
0,0,0,0,2025-11-04 20:30:00+05:30,PT1H
0,0,0,0,2025-11-04 21:30:00+05:30,PT1H
0,0,0,0,2025-11-04 22:30:00+05:30,PT1H
0,0,0,0,2025-11-04 23:30:00+05:30,PT1H
0,0,0,0,2025-11-05 00:30:00+05:30,PT1H
0,0,0,0,2025-11-05 01:30:00+05:30,PT1H
0,0,0,0,2025-11-05 02:30:00+05:30,PT1H
0,0,0,0,2025-11-05 03:30:00+05:30,PT1H
0,0,0,0,2025-11-05 04:30:00+05:30,PT1H
0,0,0,0,2025-11-05 05:30:00+05:30,PT1H
12,53,17,23,2025-11-05 06:30:00+05:30,PT1H
71,456,191,243,2025-11-05 07:30:00+05:30,PT1H
181,426,375,420,2025-11-05 08:30:00+05:30,PT1H
