dhi,dni,ghi,gti,period_end,period
12,35,16,20,2025-11-01 06:30:00+05:30,PT1H
77,374,180,217,2025-11-01 07:30:00+05:30,PT1H
118,598,412,464,2025-11-01 08:30:00+05:30,PT1H
141,709,625,680,2025-11-01 09:30:00+05:30,PT1H
154,769,790,844,2025-11-01 10:30:00+05:30,PT1H
164,793,888,942,2025-11-01 11:30:00+05:30,PT1H
173,789,912,964,2025-11-01 12:30:00+05:30,PT1H
177,764,860,913,2025-11-01 13:30:00+05:30,PT1H
172,716,738,791,2025-11-01 14:30:00+05:30,PT1H
155,638,558,609,2025-11-01 15:30:00+05:30,PT1H
122,497,336,381,2025-11-01 16:30:00+05:30,PT1H
68,175,108,125,2025-11-01 17:30:00+05:30,PT1H
2,0,2,2,2025-11-01 18:30:00+05:30,PT1H
0,0,0,0,2025-11-01 19:30:00+05:30,PT1H
0,0,0,0,2025-11-01 20:30:00+05:30,PT1H
0,0,0,0,2025-11-01 21:30:00+05:30,PT1H
0,0,0,0,2025-11-01 22:30:00+05:30,PT1H
0,0,0,0,2025-11-01 23:30:00+05:30,PT1H
0,0,0,0,2025-11-02 00:30:00+05:30,PT1H
0,0,0,0,2025-11-02 01:30:00+05:30,PT1H
0,0,0,0,2025-11-02 02:30:00+05:30,PT1H
0,0,0,0,2025-11-02 03:30:00+05:30,PT1H
0,0,0,0,2025-11-02 04:30:00+05:30,PT1H
0,0,0,0,2025-11-02 05:30:00+05:30,PT1H
13,0,13,13,2025-11-02 06:30:00+05:30,PT1H
112,117,146,156,2025-11-02 07:30:00+05:30,PT1H
232,182,319,331,2025-11-02 08:30:00+05:30,PT1H
313,273,494,511,2025-11-02 09:30:00+05:30,PT1H
371,320,635,654,2025-11-02 10:30:00+05:30,PT1H
253,633,832,876,2025-11-02 11:30:00+05:30,PT1H
198,749,898,949,2025-11-02 12:30:00+05:30,PT1H
201,719,844,895,2025-11-02 13:30:00+05:30,PT1H
205,650,716,766,2025-11-02 14:30:00+05:30,PT1H
152,647,559,614,2025-11-02 15:30:00+05:30,PT1H
119,512,339,387,2025-11-02 16:30:00+05:30,PT1H
62,233,115,139,2025-11-02 17:30:00+05:30,PT1H
2,0,2,2,2025-11-02 18:30:00+05:30,PT1H
0,0,0,0,2025-11-02 19:30:00+05:30,PT1H
0,0,0,0,2025-11-02 20:30:00+05:30,PT1H
0,0,0,0,2025-11-02 21:30:00+05:30,PT1H
0,0,0,0,2025-11-02 22:30:00+05:30,PT1H
0,0,0,0,2025-11-02 23:30:00+05:30,PT1H
0,0,0,0,2025-11-03 00:30:00+05:30,PT1H
0,0,0,0,2025-11-03 01:30:00+05:30,PT1H
0,0,0,0,2025-11-03 02:30:00+05:30,PT1H
0,0,0,0,2025-11-03 03:30:00+05:30,PT1H
0,0,0,0,2025-11-03 04:30:00+05:30,PT1H
0,0,0,0,2025-11-03 05:30:00+05:30,PT1H
13,28,16,19,2025-11-03 06:30:00+05:30,PT1H
79,377,181,220,2025-11-03 07:30:00+05:30,PT1H
183,359,366,398,2025-11-03 08:30:00+05:30,PT1H
242,456,556,592,2025-11-03 09:30:00+05:30,PT1H
261,564,722,765,2025-11-03 10:30:00+05:30,PT1H
201,730,867,919,2025-11-03 11:30:00+05:30,PT1H
149,835,928,987,2025-11-03 12:30:00+05:30,PT1H
149,818,878,937,2025-11-03 13:30:00+05:30,PT1H
141,782,757,818,2025-11-03 14:30:00+05:30,PT1H
