dhi,dni,ghi,gti,period_end,period
11,39,15,19,2025-11-01 06:30:00+05:30,PT1H
70,422,182,226,2025-11-01 07:30:00+05:30,PT1H
153,488,385,434,2025-11-01 08:30:00+05:30,PT1H
120,769,634,706,2025-11-01 09:30:00+05:30,PT1H
129,827,800,875,2025-11-01 10:30:00+05:30,PT1H
167,794,879,950,2025-11-01 11:30:00+05:30,PT1H
321,523,803,850,2025-11-01 12:30:00+05:30,PT1H
276,571,781,832,2025-11-01 13:30:00+05:30,PT1H
422,90,495,492,2025-11-01 14:30:00+05:30,PT1H
274,293,442,466,2025-11-01 15:30:00+05:30,PT1H
101,576,341,400,2025-11-01 16:30:00+05:30,PT1H
57,240,110,136,2025-11-01 17:30:00+05:30,PT1H
1,0,1,1,2025-11-01 18:30:00+05:30,PT1H
0,0,0,0,2025-11-01 19:30:00+05:30,PT1H
0,0,0,0,2025-11-01 20:30:00+05:30,PT1H
0,0,0,0,2025-11-01 21:30:00+05:30,PT1H
0,0,0,0,2025-11-01 22:30:00+05:30,PT1H
0,0,0,0,2025-11-01 23:30:00+05:30,PT1H
0,0,0,0,2025-11-02 00:30:00+05:30,PT1H
0,0,0,0,2025-11-02 01:30:00+05:30,PT1H
0,0,0,0,2025-11-02 02:30:00+05:30,PT1H
0,0,0,0,2025-11-02 03:30:00+05:30,PT1H
0,0,0,0,2025-11-02 04:30:00+05:30,PT1H
0,0,0,0,2025-11-02 05:30:00+05:30,PT1H
12,6,13,13,2025-11-02 06:30:00+05:30,PT1H
77,363,173,213,2025-11-02 07:30:00+05:30,PT1H
120,604,409,471,2025-11-02 08:30:00+05:30,PT1H
141,726,625,696,2025-11-02 09:30:00+05:30,PT1H
151,793,793,868,2025-11-02 10:30:00+05:30,PT1H
156,825,895,971,2025-11-02 11:30:00+05:30,PT1H
157,831,921,997,2025-11-02 12:30:00+05:30,PT1H
153,820,871,947,2025-11-02 13:30:00+05:30,PT1H
142,786,749,824,2025-11-02 14:30:00+05:30,PT1H
128,714,566,637,2025-11-02 15:30:00+05:30,PT1H
102,578,341,402,2025-11-02 16:30:00+05:30,PT1H
54,278,113,144,2025-11-02 17:30:00+05:30,PT1H
1,0,1,1,2025-11-02 18:30:00+05:30,PT1H
0,0,0,0,2025-11-02 19:30:00+05:30,PT1H
0,0,0,0,2025-11-02 20:30:00+05:30,PT1H
0,0,0,0,2025-11-02 21:30:00+05:30,PT1H
0,0,0,0,2025-11-02 22:30:00+05:30,PT1H
0,0,0,0,2025-11-02 23:30:00+05:30,PT1H
0,0,0,0,2025-11-03 00:30:00+05:30,PT1H
0,0,0,0,2025-11-03 01:30:00+05:30,PT1H
0,0,0,0,2025-11-03 02:30:00+05:30,PT1H
0,0,0,0,2025-11-03 03:30:00+05:30,PT1H
0,0,0,0,2025-11-03 04:30:00+05:30,PT1H
0,0,0,0,2025-11-03 05:30:00+05:30,PT1H
11,39,15,19,2025-11-03 06:30:00+05:30,PT1H
74,392,177,221,2025-11-03 07:30:00+05:30,PT1H
118,616,411,476,2025-11-03 08:30:00+05:30,PT1H
145,721,624,696,2025-11-03 09:30:00+05:30,PT1H
162,774,787,862,2025-11-03 10:30:00+05:30,PT1H
175,795,884,960,2025-11-03 11:30:00+05:30,PT1H
241,682,866,931,2025-11-03 12:30:00+05:30,PT1H
196,742,844,916,2025-11-03 13:30:00+05:30,PT1H
174,722,730,801,2025-11-03 14:30:00+05:30,PT1H
163,616,541,605,2025-11-03 15:30:00+05:30,PT1H
129,446,317,365,2025-11-03 16:30:00+05:30,PT1H
64,111,90,102,2025-11-03 17:30:00+05:30,PT1H
1,0,1,1,2025-11-03 18:30:00+05:30,PT1H
0,0,0,0,2025-11-03 19:30:00+05:30,PT1H
0,0,0,0,2025-11-03 20:30:00+05:30,PT1H
0,0,0,0,2025-11-03 21:30:00+05:30,PT1H
0,0,0,0,2025-11-03 22:30:00+05:30,PT1H
0,0,0,0,2025-11-03 23:30:00+05:30,PT1H
0,0,0,0,2025-11-04 00:30:00+05:30,PT1H
0,0,0,0,2025-11-04 01:30:00+05:30,PT1H
0,0,0,0,2025-11-04 02:30:00+05:30,PT1H
0,0,0,0,2025-11-04 03:30:00+05:30,PT1H
0,0,0,0,2025-11-04 04:30:00+05:30,PT1H
0,0,0,0,2025-11-04 05:30:00+05:30,PT1H
10,0,10,10,2025-11-04 06:30:00+05:30,PT1H
112,107,139,150,2025-11-04 07:30:00+05:30,PT1H
152,463,380,430,2025-11-04 08:30:00+05:30,PT1H
160,679,610,680,2025-11-04 09:30:00+05:30,PT1H
213,661,749,815,2025-11-04 10:30:00+05:30,PT1H
178,786,878,955,2025-11-04 11:30:00+05:30,PT1H
361,454,776,820,2025-11-04 12:30:00+05:30,PT1H
457,198,628,640,2025-11-04 13:30:00+05:30,PT1H
393,206,552,567,2025-11-04 14:30:00+05:30,PT1H
301,209,427,445,2025-11-04 15:30:00+05:30,PT1H
212,40,230,229,2025-11-04 16:30:00+05:30,PT1H
75,0,75,72,2025-11-04 17:30:00+05:30,PT1H
1,0,1,1,2025-11-04 18:30:00+05:30,PT1H
0,0,0,0,2025-11-04 19:30:00+05:30,PT1H
0,0,0,0,2025-11-04 20:30:00+05:30,PT1H
0,0,0,0,2025-11-04 21:30:00+05:30,PT1H
0,0,0,0,2025-11-04 22:30:00+05:30,PT1H
0,0,0,0,2025-11-04 23:30:00+05:30,PT1H
0,0,0,0,2025-11-05 00:30:00+05:30,PT1H
0,0,0,0,2025-11-05 01:30:00+05:30,PT1H
0,0,0,0,2025-11-05 02:30:00+05:30,PT1H
0,0,0,0,2025-11-05 03:30:00+05:30,PT1H
0,0,0,0,2025-11-05 04:30:00+05:30,PT1H
0,0,0,0,2025-11-05 05:30:00+05:30,PT1H
8,0,8,7,2025-11-05 06:30:00+05:30,PT1H
104,0,104,100,2025-11-05 07:30:00+05:30,PT1H
220,0,220,212,2025-11-05 08:30:00+05:30,PT1H
309,0,309,298,2025-11-05 09:30:00+05:30,PT1H
266,0,266,257,2025-11-05 10:30:00+05:30,PT1H
461,0,461,445,2025-11-05 11:30:00+05:30,PT1H
532,22,552,537,2025-11-05 12:30:00+05:30,PT1H
434,239,637,654,2025-11-05 13:30:00+05:30,PT1H
310,411,623,665,2025-11-05 14:30:00+05:30,PT1H
171,588,529,593,2025-11-05 15:30:00+05:30,PT1H
153,357,295,335,2025-11-05 16:30:00+05:30,PT1H
56,225,103,130,2025-11-05 17:30:00+05:30,PT1H
1,0,1,1,2025-11-05 18:30:00+05:30,PT1H
0,0,0,0,2025-11-05 19:30:00+05:30,PT1H
0,0,0,0,2025-11-05 20:30:00+05:30,PT1H
0,0,0,0,2025-11-05 21:30:00+05:30,PT1H
0,0,0,0,2025-11-05 22:30:00+05:30,PT1H
0,0,0,0,2025-11-05 23:30:00+05:30,PT1H
0,0,0,0,2025-11-06 00:30:00+05:30,PT1H
0,0,0,0,2025-11-06 01:30:00+05:30,PT1H
0,0,0,0,2025-11-06 02:30:00+05:30,PT1H
0,0,0,0,2025-11-06 03:30:00+05:30,PT1H
0,0,0,0,2025-11-06 04:30:00+05:30,PT1H
0,0,0,0,2025-11-06 05:30:00+05:30,PT1H
9,0,9,9,2025-11-06 06:30:00+05:30,PT1H
84,278,157,190,2025-11-06 07:30:00+05:30,PT1H
218,206,315,336,2025-11-06 08:30:00+05:30,PT1H
353,116,429,434,2025-11-06 09:30:00+05:30,PT1H
374,293,607,635,2025-11-06 10:30:00+05:30,PT1H
383,358,704,736,2025-11-06 11:30:00+05:30,PT1H
419,315,705,731,2025-11-06 12:30:00+05:30,PT1H
318,495,745,796,2025-11-06 13:30:00+05:30,PT1H
249,121,348,355,2025-11-06 14:30:00+05:30,PT1H
44,0,44,43,2025-11-06 15:30:00+05:30,PT1H
58,0,58,56,2025-11-06 16:30:00+05:30,PT1H
38,0,38,37,2025-11-06 17:30:00+05:30,PT1H
0,0,0,0,2025-11-06 18:30:00+05:30,PT1H
0,0,0,0,2025-11-06 19:30:00+05:30,PT1H
0,0,0,0,2025-11-06 20:30:00+05:30,PT1H
0,0,0,0,2025-11-06 21:30:00+05:30,PT1H
0,0,0,0,2025-11-06 22:30:00+05:30,PT1H
0,0,0,0,2025-11-06 23:30:00+05:30,PT1H
0,0,0,0,2025-11-07 00:30:00+05:30,PT1H
0,0,0,0,2025-11-07 01:30:00+05:30,PT1H
0,0,0,0,2025-11-07 02:30:00+05:30,PT1H
0,0,0,0,2025-11-07 03:30:00+05:30,PT1H
0,0,0,0,2025-11-07 04:30:00+05:30,PT1H
0,0,0,0,2025-11-07 05:30:00+05:30,PT1H
8,0,8,8,2025-11-07 06:30:00+05:30,PT1H
114,14,118,116,2025-11-07 07:30:00+05:30,PT1H
212,219,317,340,2025-11-07 08:30:00+05:30,PT1H
306,278,483,512,2025-11-07 09:30:00+05:30,PT1H
463,10,470,456,2025-11-07 10:30:00+05:30,PT1H
438,0,438,423,2025-11-07 11:30:00+05:30,PT1H
513,80,586,581,2025-11-07 12:30:00+05:30,PT1H
403,0,403,389,2025-11-07 13:30:00+05:30,PT1H
237,0,237,229,2025-11-07 14:30:00+05:30,PT1H
222,0,222,214,2025-11-07 15:30:00+05:30,PT1H
88,0,88,85,2025-11-07 16:30:00+05:30,PT1H
32,0,32,31,2025-11-07 17:30:00+05:30,PT1H
0,0,0,0,2025-11-07 18:30:00+05:30,PT1H
0,0,0,0,2025-11-07 19:30:00+05:30,PT1H
0,0,0,0,2025-11-07 20:30:00+05:30,PT1H
0,0,0,0,2025-11-07 21:30:00+05:30,PT1H
0,0,0,0,2025-11-07 22:30:00+05:30,PT1H
0,0,0,0,2025-11-07 23:30:00+05:30,PT1H
0,0,0,0,2025-11-08 00:30:00+05:30,PT1H
0,0,0,0,2025-11-08 01:30:00+05:30,PT1H
0,0,0,0,2025-11-08 02:30:00+05:30,PT1H
0,0,0,0,2025-11-08 03:30:00+05:30,PT1H
0,0,0,0,2025-11-08 04:30:00+05:30,PT1H
0,0,0,0,2025-11-08 05:30:00+05:30,PT1H
7,0,7,7,2025-11-08 06:30:00+05:30,PT1H
104,3,105,102,2025-11-08 07:30:00+05:30,PT1H
198,265,326,356,2025-11-08 08:30:00+05:30,PT1H
366,71,411,409,2025-11-08 09:30:00+05:30,PT1H
445,115,535,537,2025-11-08 10:30:00+05:30,PT1H
492,132,609,613,2025-11-08 11:30:00+05:30,PT1H
380,411,752,795,2025-11-08 12:30:00+05:30,PT1H
439,113,539,541,2025-11-08 13:30:00+05:30,PT1H
286,0,286,276,2025-11-08 14:30:00+05:30,PT1H
335,6,339,328,2025-11-08 15:30:00+05:30,PT1H
164,3,166,160,2025-11-08 16:30:00+05:30,PT1H
39,0,39,38,2025-11-08 17:30:00+05:30,PT1H
0,0,0,0,2025-11-08 18:30:00+05:30,PT1H
0,0,0,0,2025-11-08 19:30:00+05:30,PT1H
0,0,0,0,2025-11-08 20:30:00+05:30,PT1H
0,0,0,0,2025-11-08 21:30:00+05:30,PT1H
0,0,0,0,2025-11-08 22:30:00+05:30,PT1H
0,0,0,0,2025-11-08 23:30:00+05:30,PT1H
0,0,0,0,2025-11-09 00:30:00+05:30,PT1H
0,0,0,0,2025-11-09 01:30:00+05:30,PT1H
0,0,0,0,2025-11-09 02:30:00+05:30,PT1H
0,0,0,0,2025-11-09 03:30:00+05:30,PT1H
0,0,0,0,2025-11-09 04:30:00+05:30,PT1H
0,0,0,0,2025-11-09 05:30:00+05:30,PT1H
8,0,8,8,2025-11-09 06:30:00+05:30,PT1H
105,3,106,103,2025-11-09 07:30:00+05:30,PT1H
230,117,287,297,2025-11-09 08:30:00+05:30,PT1H
331,198,460,479,2025-11-09 09:30:00+05:30,PT1H
425,184,572,586,2025-11-09 10:30:00+05:30,PT1H
420,319,700,732,2025-11-09 11:30:00+05:30,PT1H
541,51,586,576,2025-11-09 12:30:00+05:30,PT1H
441,33,470,460,2025-11-09 13:30:00+05:30,PT1H
180,0,180,174,2025-11-09 14:30:00+05:30,PT1H
218,0,218,210,2025-11-09 15:30:00+05:30,PT1H
84,0,84,81,2025-11-09 16:30:00+05:30,PT1H
36,0,36,34,2025-11-09 17:30:00+05:30,PT1H
1,0,1,0,2025-11-09 18:30:00+05:30,PT1H
0,0,0,0,2025-11-09 19:30:00+05:30,PT1H
0,0,0,0,2025-11-09 20:30:00+05:30,PT1H
0,0,0,0,2025-11-09 21:30:00+05:30,PT1H
0,0,0,0,2025-11-09 22:30:00+05:30,PT1H
0,0,0,0,2025-11-09 23:30:00+05:30,PT1H
0,0,0,0,2025-11-10 00:30:00+05:30,PT1H
0,0,0,0,2025-11-10 01:30:00+05:30,PT1H
0,0,0,0,2025-11-10 02:30:00+05:30,PT1H
0,0,0,0,2025-11-10 03:30:00+05:30,PT1H
0,0,0,0,2025-11-10 04:30:00+05:30,PT1H
0,0,0,0,2025-11-10 05:30:00+05:30,PT1H
7,0,7,7,2025-11-10 06:30:00+05:30,PT1H
81,0,81,78,2025-11-10 07:30:00+05:30,PT1H
229,114,284,294,2025-11-10 08:30:00+05:30,PT1H
308,258,477,506,2025-11-10 09:30:00+05:30,PT1H
389,272,603,631,2025-11-10 10:30:00+05:30,PT1H
507,109,602,603,2025-11-10 11:30:00+05:30,PT1H
526,101,616,615,2025-11-10 12:30:00+05:30,PT1H
517,35,546,535,2025-11-10 13:30:00+05:30,PT1H
389,0,389,375,2025-11-10 14:30:00+05:30,PT1H
89,0,89,86,2025-11-10 15:30:00+05:30,PT1H
16,0,16,16,2025-11-10 16:30:00+05:30,PT1H
4,0,4,4,2025-11-10 17:30:00+05:30,PT1H
0,0,0,0,2025-11-10 18:30:00+05:30,PT1H
0,0,0,0,2025-11-10 19:30:00+05:30,PT1H
0,0,0,0,2025-11-10 20:30:00+05:30,PT1H
0,0,0,0,2025-11-10 21:30:00+05:30,PT1H
0,0,0,0,2025-11-10 22:30:00+05:30,PT1H
0,0,0,0,2025-11-10 23:30:00+05:30,PT1H
0,0,0,0,2025-11-11 00:30:00+05:30,PT1H
0,0,0,0,2025-11-11 01:30:00+05:30,PT1H
0,0,0,0,2025-11-11 02:30:00+05:30,PT1H
0,0,0,0,2025-11-11 03:30:00+05:30,PT1H
0,0,0,0,2025-11-11 04:30:00+05:30,PT1H
0,0,0,0,2025-11-11 05:30:00+05:30,PT1H
7,0,7,6,2025-11-11 06:30:00+05:30,PT1H
94,0,94,91,2025-11-11 07:30:00+05:30,PT1H
235,30,251,248,2025-11-11 08:30:00+05:30,PT1H
317,206,452,473,2025-11-11 09:30:00+05:30,PT1H
451,100,528,530,2025-11-11 10:30:00+05:30,PT1H
438,263,670,696,2025-11-11 11:30:00+05:30,PT1H
414,338,718,753,2025-11-11 12:30:00+05:30,PT1H
472,108,565,566,2025-11-11 13:30:00+05:30,PT1H
117,0,117,113,2025-11-11 14:30:00+05:30,PT1H
21,0,21,20,2025-11-11 15:30:00+05:30,PT1H
50,0,50,48,2025-11-11 16:30:00+05:30,PT1H
36,0,36,34,2025-11-11 17:30:00+05:30,PT1H
0,0,0,0,2025-11-11 18:30:00+05:30,PT1H
0,0,0,0,2025-11-11 19:30:00+05:30,PT1H
0,0,0,0,2025-11-11 20:30:00+05:30,PT1H
0,0,0,0,2025-11-11 21:30:00+05:30,PT1H
0,0,0,0,2025-11-11 22:30:00+05:30,PT1H
0,0,0,0,2025-11-11 23:30:00+05:30,PT1H
0,0,0,0,2025-11-12 00:30:00+05:30,PT1H
0,0,0,0,2025-11-12 01:30:00+05:30,PT1H
0,0,0,0,2025-11-12 02:30:00+05:30,PT1H
0,0,0,0,2025-11-12 03:30:00+05:30,PT1H
0,0,0,0,2025-11-12 04:30:00+05:30,PT1H
0,0,0,0,2025-11-12 05:30:00+05:30,PT1H
9,0,9,9,2025-11-12 06:30:00+05:30,PT1H
111,55,122,127,2025-11-12 07:30:00+05:30,PT1H
240,0,240,231,2025-11-12 08:30:00+05:30,PT1H
353,37,378,372,2025-11-12 09:30:00+05:30,PT1H
415,8,422,409,2025-11-12 10:30:00+05:30,PT1H
278,0,278,268,2025-11-12 11:30:00+05:30,PT1H
153,0,153,148,2025-11-12 12:30:00+05:30,PT1H
340,0,340,328,2025-11-12 13:30:00+05:30,PT1H
387,41,415,409,2025-11-12 14:30:00+05:30,PT1H
319,83,372,374,2025-11-12 15:30:00+05:30,PT1H
208,33,220,218,2025-11-12 16:30:00+05:30,PT1H
70,3,70,68,2025-11-12 17:30:00+05:30,PT1H
0,0,0,0,2025-11-12 18:30:00+05:30,PT1H
0,0,0,0,2025-11-12 19:30:00+05:30,PT1H
0,0,0,0,2025-11-12 20:30:00+05:30,PT1H
0,0,0,0,2025-11-12 21:30:00+05:30,PT1H
0,0,0,0,2025-11-12 22:30:00+05:30,PT1H
