dhi,dni,ghi,gti,period_end,period
12,15,14,14,2025-10-01 06:30:00+05:30,PT1H
91,272,169,171,2025-10-01 07:30:00+05:30,PT1H
154,492,402,405,2025-10-01 08:30:00+05:30,PT1H
185,625,622,625,2025-10-01 09:30:00+05:30,PT1H
187,725,806,807,2025-10-01 10:30:00+05:30,PT1H
237,687,890,889,2025-10-01 11:30:00+05:30,PT1H
317,565,870,866,2025-10-01 12:30:00+05:30,PT1H
406,375,759,752,2025-10-01 13:30:00+05:30,PT1H
399,276,632,624,2025-10-01 14:30:00+05:30,PT1H
288,350,524,522,2025-10-01 15:30:00+05:30,PT1H
229,148,306,302,2025-10-01 16:30:00+05:30,PT1H
102,38,114,111,2025-10-01 17:30:00+05:30,PT1H
8,0,8,8,2025-10-01 18:30:00+05:30,PT1H
0,0,0,0,2025-10-01 19:30:00+05:30,PT1H
0,0,0,0,2025-10-01 20:30:00+05:30,PT1H
0,0,0,0,2025-10-01 21:30:00+05:30,PT1H
0,0,0,0,2025-10-01 22:30:00+05:30,PT1H
0,0,0,0,2025-10-01 23:30:00+05:30,PT1H
0,0,0,0,2025-10-02 00:30:00+05:30,PT1H
0,0,0,0,2025-10-02 01:30:00+05:30,PT1H
0,0,0,0,2025-10-02 02:30:00+05:30,PT1H
0,0,0,0,2025-10-02 03:30:00+05:30,PT1H
0,0,0,0,2025-10-02 04:30:00+05:30,PT1H
0,0,0,0,2025-10-02 05:30:00+05:30,PT1H
13,2,13,12,2025-10-02 06:30:00+05:30,PT1H
90,269,169,173,2025-10-02 07:30:00+05:30,PT1H
129,566,415,421,2025-10-02 08:30:00+05:30,PT1H
133,728,641,648,2025-10-02 09:30:00+05:30,PT1H
318,435,691,688,2025-10-02 10:30:00+05:30,PT1H
335,481,789,786,2025-10-02 11:30:00+05:30,PT1H
467,252,713,704,2025-10-02 12:30:00+05:30,PT1H
378,394,748,744,2025-10-02 13:30:00+05:30,PT1H
328,408,669,667,2025-10-02 14:30:00+05:30,PT1H
338,189,471,465,2025-10-02 15:30:00+05:30,PT1H
252,22,262,254,2025-10-02 16:30:00+05:30,PT1H
101,67,115,114,2025-10-02 17:30:00+05:30,PT1H
7,2,7,7,2025-10-02 18:30:00+05:30,PT1H
0,0,0,0,2025-10-02 19:30:00+05:30,PT1H
0,0,0,0,2025-10-02 20:30:00+05:30,PT1H
0,0,0,0,2025-10-02 21:30:00+05:30,PT1H
0,0,0,0,2025-10-02 22:30:00+05:30,PT1H
0,0,0,0,2025-10-02 23:30:00+05:30,PT1H
0,0,0,0,2025-10-03 00:30:00+05:30,PT1H
0,0,0,0,2025-10-03 01:30:00+05:30,PT1H
0,0,0,0,2025-10-03 02:30:00+05:30,PT1H
0,0,0,0,2025-10-03 03:30:00+05:30,PT1H
0,0,0,0,2025-10-03 04:30:00+05:30,PT1H
0,0,0,0,2025-10-03 05:30:00+05:30,PT1H
13,8,14,13,2025-10-03 06:30:00+05:30,PT1H
88,287,170,174,2025-10-03 07:30:00+05:30,PT1H
136,540,408,416,2025-10-03 08:30:00+05:30,PT1H
143,705,637,645,2025-10-03 09:30:00+05:30,PT1H
152,771,809,816,2025-10-03 10:30:00+05:30,PT1H
163,792,912,918,2025-10-03 11:30:00+05:30,PT1H
304,561,852,853,2025-10-03 12:30:00+05:30,PT1H
361,427,761,759,2025-10-03 13:30:00+05:30,PT1H
336,5,340,329,2025-10-03 14:30:00+05:30,PT1H
42,0,42,40,2025-10-03 15:30:00+05:30,PT1H
73,0,73,70,2025-10-03 16:30:00+05:30,PT1H
81,11,83,81,2025-10-03 17:30:00+05:30,PT1H
5,0,5,5,2025-10-03 18:30:00+05:30,PT1H
0,0,0,0,2025-10-03 19:30:00+05:30,PT1H
0,0,0,0,2025-10-03 20:30:00+05:30,PT1H
0,0,0,0,2025-10-03 21:30:00+05:30,PT1H
0,0,0,0,2025-10-03 22:30:00+05:30,PT1H
0,0,0,0,2025-10-03 23:30:00+05:30,PT1H
0,0,0,0,2025-10-04 00:30:00+05:30,PT1H
0,0,0,0,2025-10-04 01:30:00+05:30,PT1H
0,0,0,0,2025-10-04 02:30:00+05:30,PT1H
0,0,0,0,2025-10-04 03:30:00+05:30,PT1H
0,0,0,0,2025-10-04 04:30:00+05:30,PT1H
0,0,0,0,2025-10-04 05:30:00+05:30,PT1H
13,33,16,17,2025-10-04 06:30:00+05:30,PT1H
72,413,187,196,2025-10-04 07:30:00+05:30,PT1H
111,622,422,433,2025-10-04 08:30:00+05:30,PT1H
154,681,630,639,2025-10-04 09:30:00+05:30,PT1H
339,404,679,678,2025-10-04 10:30:00+05:30,PT1H
371,418,769,767,2025-10-04 11:30:00+05:30,PT1H
306,156,458,452,2025-10-04 12:30:00+05:30,PT1H
67,0,67,64,2025-10-04 13:30:00+05:30,PT1H
45,0,45,43,2025-10-04 14:30:00+05:30,PT1H
65,0,65,63,2025-10-04 15:30:00+05:30,PT1H
59,0,59,57,2025-10-04 16:30:00+05:30,PT1H
58,0,58,56,2025-10-04 17:30:00+05:30,PT1H
3,0,3,3,2025-10-04 18:30:00+05:30,PT1H
0,0,0,0,2025-10-04 19:30:00+05:30,PT1H
0,0,0,0,2025-10-04 20:30:00+05:30,PT1H
0,0,0,0,2025-10-04 21:30:00+05:30,PT1H
0,0,0,0,2025-10-04 22:30:00+05:30,PT1H
0,0,0,0,2025-10-04 23:30:00+05:30,PT1H
0,0,0,0,2025-10-05 00:30:00+05:30,PT1H
0,0,0,0,2025-10-05 01:30:00+05:30,PT1H
0,0,0,0,2025-10-05 02:30:00+05:30,PT1H
0,0,0,0,2025-10-05 03:30:00+05:30,PT1H
0,0,0,0,2025-10-05 04:30:00+05:30,PT1H
0,0,0,0,2025-10-05 05:30:00+05:30,PT1H
13,20,15,15,2025-10-05 06:30:00+05:30,PT1H
81,347,178,187,2025-10-05 07:30:00+05:30,PT1H
124,584,417,429,2025-10-05 08:30:00+05:30,PT1H
191,601,605,615,2025-10-05 09:30:00+05:30,PT1H
238,598,751,758,2025-10-05 10:30:00+05:30,PT1H
149,817,920,931,2025-10-05 11:30:00+05:30,PT1H
