dhi,dni,ghi,gti,period_end,period
0,0,0,0,2025-11-01 00:05:00+05:30,PT5M
0,0,0,0,2025-11-01 00:10:00+05:30,PT5M
0,0,0,0,2025-11-01 00:15:00+05:30,PT5M
0,0,0,0,2025-11-01 00:20:00+05:30,PT5M
0,0,0,0,2025-11-01 00:25:00+05:30,PT5M
0,0,0,0,2025-11-01 00:30:00+05:30,PT5M
0,0,0,0,2025-11-01 00:35:00+05:30,PT5M
0,0,0,0,2025-11-01 00:40:00+05:30,PT5M
0,0,0,0,2025-11-01 00:45:00+05:30,PT5M
0,0,0,0,2025-11-01 00:50:00+05:30,PT5M
0,0,0,0,2025-11-01 00:55:00+05:30,PT5M
0,0,0,0,2025-11-01 01:00:00+05:30,PT5M
0,0,0,0,2025-11-01 01:05:00+05:30,PT5M
0,0,0,0,2025-11-01 01:10:00+05:30,PT5M
0,0,0,0,2025-11-01 01:15:00+05:30,PT5M
0,0,0,0,2025-11-01 01:20:00+05:30,PT5M
0,0,0,0,2025-11-01 01:25:00+05:30,PT5M
0,0,0,0,2025-11-01 01:30:00+05:30,PT5M
0,0,0,0,2025-11-01 01:35:00+05:30,PT5M
0,0,0,0,2025-11-01 01:40:00+05:30,PT5M
0,0,0,0,2025-11-01 01:45:00+05:30,PT5M
0,0,0,0,2025-11-01 01:50:00+05:30,PT5M
0,0,0,0,2025-11-01 01:55:00+05:30,PT5M
0,0,0,0,2025-11-01 02:00:00+05:30,PT5M
0,0,0,0,2025-11-01 02:05:00+05:30,PT5M
0,0,0,0,2025-11-01 02:10:00+05:30,PT5M
0,0,0,0,2025-11-01 02:15:00+05:30,PT5M
0,0,0,0,2025-11-01 02:20:00+05:30,PT5M
0,0,0,0,2025-11-01 02:25:00+05:30,PT5M
0,0,0,0,2025-11-01 02:30:00+05:30,PT5M
0,0,0,0,2025-11-01 02:35:00+05:30,PT5M
0,0,0,0,2025-11-01 02:40:00+05:30,PT5M
0,0,0,0,2025-11-01 02:45:00+05:30,PT5M
0,0,0,0,2025-11-01 02:50:00+05:30,PT5M
0,0,0,0,2025-11-01 02:55:00+05:30,PT5M
0,0,0,0,2025-11-01 03:00:00+05:30,PT5M
0,0,0,0,2025-11-01 03:05:00+05:30,PT5M
0,0,0,0,2025-11-01 03:10:00+05:30,PT5M
0,0,0,0,2025-11-01 03:15:00+05:30,PT5M
0,0,0,0,2025-11-01 03:20:00+05:30,PT5M
0,0,0,0,2025-11-01 03:25:00+05:30,PT5M
0,0,0,0,2025-11-01 03:30:00+05:30,PT5M
0,0,0,0,2025-11-01 03:35:00+05:30,PT5M
0,0,0,0,2025-11-01 03:40:00+05:30,PT5M
0,0,0,0,2025-11-01 03:45:00+05:30,PT5M
0,0,0,0,2025-11-01 03:50:00+05:30,PT5M
0,0,0,0,2025-11-01 03:55:00+05:30,PT5M
0,0,0,0,2025-11-01 04:00:00+05:30,PT5M
0,0,0,0,2025-11-01 04:05:00+05:30,PT5M
0,0,0,0,2025-11-01 04:10:00+05:30,PT5M
0,0,0,0,2025-11-01 04:15:00+05:30,PT5M
0,0,0,0,2025-11-01 04:20:00+05:30,PT5M
0,0,0,0,2025-11-01 04:25:00+05:30,PT5M
0,0,0,0,2025-11-01 04:30:00+05:30,PT5M
0,0,0,0,2025-11-01 04:35:00+05:30,PT5M
0,0,0,0,2025-11-01 04:40:00+05:30,PT5M
0,0,0,0,2025-11-01 04:45:00+05:30,PT5M
0,0,0,0,2025-11-01 04:50:00+05:30,PT5M
0,0,0,0,2025-11-01 04:55:00+05:30,PT5M
0,0,0,0,2025-11-01 05:00:00+05:30,PT5M
0,0,0,0,2025-11-01 05:05:00+05:30,PT5M
0,0,0,0,2025-11-01 05:10:00+05:30,PT5M
0,0,0,0,2025-11-01 05:15:00+05:30,PT5M
0,0,0,0,2025-11-01 05:20:00+05:30,PT5M
0,0,0,0,2025-11-01 05:25:00+05:30,PT5M
0,0,0,0,2025-11-01 05:30:00+05:30,PT5M
0,0,0,0,2025-11-01 05:35:00+05:30,PT5M
0,0,0,0,2025-11-01 05:40:00+05:30,PT5M
0,0,0,0,2025-11-01 05:45:00+05:30,PT5M
0,0,0,0,2025-11-01 05:50:00+05:30,PT5M
0,0,0,0,2025-11-01 05:55:00+05:30,PT5M
0,0,0,0,2025-11-01 06:00:00+05:30,PT5M
3,1,3,3,2025-11-01 06:05:00+05:30,PT5M
11,12,12,12,2025-11-01 06:10:00+05:30,PT5M
18,42,22,26,2025-11-01 06:15:00+05:30,PT5M
26,93,34,43,2025-11-01 06:20:00+05:30,PT5M
32,152,47,63,2025-11-01 06:25:00+05:30,PT5M
39,194,61,82,2025-11-01 06:30:00+05:30,PT5M
45,234,77,102,2025-11-01 06:35:00+05:30,PT5M
61,143,84,99,2025-11-01 06:40:00+05:30,PT5M
56,308,110,143,2025-11-01 06:45:00+05:30,PT5M
75,215,117,140,2025-11-01 06:50:00+05:30,PT5M
81,250,135,161,2025-11-01 06:55:00+05:30,PT5M
83,306,156,188,2025-11-01 07:00:00+05:30,PT5M
74,430,185,229,2025-11-01 07:05:00+05:30,PT5M
78,456,205,251,2025-11-01 07:10:00+05:30,PT5M
82,479,224,273,2025-11-01 07:15:00+05:30,PT5M
85,502,244,295,2025-11-01 07:20:00+05:30,PT5M
88,523,264,316,2025-11-01 07:25:00+05:30,PT5M
91,542,284,338,2025-11-01 07:30:00+05:30,PT5M
94,560,304,359,2025-11-01 07:35:00+05:30,PT5M
97,576,324,380,2025-11-01 07:40:00+05:30,PT5M
99,592,344,401,2025-11-01 07:45:00+05:30,PT5M
102,606,364,422,2025-11-01 07:50:00+05:30,PT5M
104,620,383,442,2025-11-01 07:55:00+05:30,PT5M
107,633,403,462,2025-11-01 08:00:00+05:30,PT5M
109,645,422,483,2025-11-01 08:05:00+05:30,PT5M
111,656,442,502,2025-11-01 08:10:00+05:30,PT5M
113,667,461,522,2025-11-01 08:15:00+05:30,PT5M
115,677,479,541,2025-11-01 08:20:00+05:30,PT5M
117,687,498,560,2025-11-01 08:25:00+05:30,PT5M
119,696,516,579,2025-11-01 08:30:00+05:30,PT5M
120,705,534,597,2025-11-01 08:35:00+05:30,PT5M
122,713,552,615,2025-11-01 08:40:00+05:30,PT5M
123,721,570,633,2025-11-01 08:45:00+05:30,PT5M
125,728,587,651,2025-11-01 08:50:00+05:30,PT5M
126,735,604,668,2025-11-01 08:55:00+05:30,PT5M
127,742,620,685,2025-11-01 09:00:00+05:30,PT5M
129,748,636,701,2025-11-01 09:05:00+05:30,PT5M
130,754,652,717,2025-11-01 09:10:00+05:30,PT5M
131,760,668,733,2025-11-01 09:15:00+05:30,PT5M
132,765,683,748,2025-11-01 09:20:00+05:30,PT5M
133,771,698,763,2025-11-01 09:25:00+05:30,PT5M
134,776,712,777,2025-11-01 09:30:00+05:30,PT5M
135,780,726,791,2025-11-01 09:35:00+05:30,PT5M
136,784,739,805,2025-11-01 09:40:00+05:30,PT5M
138,787,753,818,2025-11-01 09:45:00+05:30,PT5M
139,791,765,830,2025-11-01 09:50:00+05:30,PT5M
140,794,777,843,2025-11-01 09:55:00+05:30,PT5M
141,797,789,854,2025-11-01 10:00:00+05:30,PT5M
142,800,800,866,2025-11-01 10:05:00+05:30,PT5M
143,803,811,876,2025-11-01 10:10:00+05:30,PT5M
144,805,822,887,2025-11-01 10:15:00+05:30,PT5M
145,807,831,897,2025-11-01 10:20:00+05:30,PT5M
146,810,841,906,2025-11-01 10:25:00+05:30,PT5M
147,812,850,915,2025-11-01 10:30:00+05:30,PT5M
148,813,858,923,2025-11-01 10:35:00+05:30,PT5M
149,814,866,931,2025-11-01 10:40:00+05:30,PT5M
150,815,873,938,2025-11-01 10:45:00+05:30,PT5M
151,816,880,945,2025-11-01 10:50:00+05:30,PT5M
152,817,887,951,2025-11-01 10:55:00+05:30,PT5M
153,818,892,957,2025-11-01 11:00:00+05:30,PT5M
154,818,898,962,2025-11-01 11:05:00+05:30,PT5M
155,819,903,967,2025-11-01 11:10:00+05:30,PT5M
156,819,907,971,2025-11-01 11:15:00+05:30,PT5M
157,819,911,975,2025-11-01 11:20:00+05:30,PT5M
